,채널이름,조회수
0,푸드킹덤 Food Kingdom,"59,119,166"
1,푸드킹덤 Food Kingdom,"29,946,210"
2,푸드킹덤 Food Kingdom,"36,839,831"
3,야미보이 Yummyboy,"31,207,792"
4,푸드킹덤 Food Kingdom,"37,867,434"
5,피기보이 PiggyBoy,"34,121,156"
6,야미보이 Yummyboy,"39,318,482"
7,푸드킹덤 Food Kingdom,"56,414,137"
8,Imagine your Korea,"156,046,213"
9,I'm perfect,"49,003,323"
10,Soon Films 순필름,"46,699,879"
11,찐푸드 JJin Food,"46,854,545"
12,푸드클럽 The Food Club,"41,968,897"
13,Imagine your Korea,"36,069,153"
14,푸드킹덤 Food Kingdom,"22,839,384"
15,야미보이 Yummyboy,"34,440,549"
16,Imagine your Korea,"49,554,221"
17,Imagine your Korea,"93,253,987"
