행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관,주최기관,전화번호,후원기관,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
THE휴 콘서트,대덕문화전당 드림홀,앞산자락길 참여주민을 위한 공연,2019-03-09,2019-03-09,17:00,18:30,무료,대구광역시남구대덕문화전당,대구광역시남구,053-664-3131,,536,,전연령,,,https://nam.daegu.kr/culturalcenter/index.do,www.ticketlink.co.kr,Y,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산201-4,35.83129637,128.5769684,2022-06-29
기획전시 삼인삼각,대덕문화전당 전시실,지역의 대표 작가 3인의 수준높은 조각작품 전시,2019-03-25,2019-04-06,17:00,18:30,무료,대구광역시남구대덕문화전당,대구광역시남구,053-664-3131,,536,,8세이상,,,https://nam.daegu.kr/culturalcenter/index.do,www.ticketlink.co.kr,Y,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산201-4,35.83129637,128.5769684,2022-06-29
봄 설레임 콘서트,대덕문화전당 드림홀,대덕문화전당 기획공연,2019-04-06,2019-04-06,17:00,18:30,유료,대구광역시남구대덕문화전당,대구광역시남구,053-664-3131,,536,,8세이상,,,https://nam.daegu.kr/culturalcenter/index.do,www.ticketlink.co.kr,Y,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산201-4,35.83129637,128.5769684,2022-06-29
THE휴 콘서트,대덕문화전당 드림홀,앞산자락길 참여주민을 위한 공연,2019-04-13,2019-04-13,17:00,18:30,무료,대구광역시남구대덕문화전당,대구광역시남구,053-664-3131,,536,,전연령,,,https://nam.daegu.kr/culturalcenter/index.do,www.ticketlink.co.kr,Y,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산201-4,35.83129637,128.5769684,2022-06-29
수작콘서트-양성필,대덕문화전당 드림홀,퓨전국악,2019-04-27,2019-04-27,19:30,21:00,유료,한국문화예술회관연합회+대덕문화전당,문화체육관광부,053-664-3111,,530,10000,8세이상,티켓링크 참고,,https://nam.daegu.kr/culturalcenter/index.do,www.ticketlink.co.kr,Y,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산201-4,35.83129637,128.5769684,2022-06-29
숲속의 미녀 <방방곡곡>,대덕문화전당 드림홀,한문연 방방곡곡문화공감사업,2019-05-05,2019-05-05,17:00,18:30,무료,한국문화예술회관연합회,한국문화예술회관연합회,053-664-3131,,536,,전연령,,,https://nam.daegu.kr/culturalcenter/index.do,www.ticketlink.co.kr,Y,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산201-4,35.83129637,128.5769684,2022-06-29
THE휴 콘서트,대덕문화전당 드림홀,앞산자락길 참여주민을 위한 공연,2019-05-11,2019-05-11,17:00,18:30,무료,대구광역시남구대덕문화전당,대구광역시남구,053-664-3131,,536,,전연령,,,https://nam.daegu.kr/culturalcenter/index.do,www.ticketlink.co.kr,Y,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산201-4,35.83129637,128.5769684,2022-06-29
수작콘서트-홍민주,대구음악창작소 창공홀,국악,2019-06-01,2019-06-01,19:30,21:00,유료,한국문화예술회관연합회+대덕문화전당,문화체육관광부,053-664-3111,,90,10000,8세이상,티켓링크 참고,,https://nam.daegu.kr/culturalcenter/index.do,www.ticketlink.co.kr,Y,대구광역시 남구 중앙대로45길 53,대구광역시 남구 대명동 1803-31,35.8549683,128.5893079,2022-06-29
THE휴 콘서트,대덕문화전당 드림홀,앞산자락길 참여주민을 위한 공연,2019-06-08,2019-06-08,17:00,18:30,무료,대구광역시남구대덕문화전당,대구광역시남구,053-664-3131,,536,,전연령,,,https://nam.daegu.kr/culturalcenter/index.do,www.ticketlink.co.kr,Y,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산201-4,35.83129637,128.5769684,2022-06-29
옥상전망대 별빛달빛 콘서트,대덕문화전당 옥상전망대,"호국보훈의날,국가보훈대상자 위로 음악회",2019-06-27,2019-06-27,19:00,20:00,무료,대구광역시남구대덕문화전당,대구광역시남구,053-664-3131,,,,전연령,,,https://nam.daegu.kr/culturalcenter/index.do,,,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산201-4,35.83129637,128.5769684,2022-06-29
THE휴 콘서트,대덕문화전당 드림홀,앞산자락길 참여주민을 위한 공연,2019-07-13,2019-07-13,17:00,18:30,무료,대구광역시남구대덕문화전당,대구광역시남구,053-664-3131,,536,,전연령,,,https://nam.daegu.kr/culturalcenter/index.do,www.ticketlink.co.kr,Y,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산201-4,35.83129637,128.5769684,2022-06-29
수작콘서트-채환,대구음악창작소 창공홀,포크,2019-07-31,2019-07-31,17:00,18:30,유료,한국문화예술회관연합회+대덕문화전당,문화체육관광부,053-664-3111,,90,10000,8세이상,티켓링크 참고,,https://nam.daegu.kr/culturalcenter/index.do,www.ticketlink.co.kr,Y,대구광역시 남구 중앙대로45길 53,대구광역시 남구 대명동 1803-31,35.8549683,128.5893079,2022-06-29
수작콘서트-CM코리아,대덕문화전당 드림홀,클래식,2019-08-31,2019-08-31,17:00,18:30,유료,한국문화예술회관연합회+대덕문화전당,문화체육관광부,053-664-3111,,530,10000,8세이상,티켓링크 참고,,https://nam.daegu.kr/culturalcenter/index.do,www.ticketlink.co.kr,Y,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산201-4,35.83129637,128.5769684,2022-06-29
THE휴 콘서트,대덕문화전당 드림홀,앞산자락길 참여주민을 위한 공연,2019-09-21,2019-09-21,17:00,18:30,무료,대구광역시남구대덕문화전당,대구광역시남구,053-664-3131,,536,,전연령,,,https://nam.daegu.kr/culturalcenter/index.do,www.ticketlink.co.kr,Y,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산201-4,35.83129637,128.5769684,2022-06-29
기획전시 가을전,대덕문화전당 전시실,대덕문화전당 기획전시,2019-10-14,2019-10-19,10:00,18:00,무료,대구광역시남구대덕문화전당,대구광역시남구,053-664-3131,,,,전연령,,,https://nam.daegu.kr/culturalcenter/index.do,www.ticketlink.co.kr,Y,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산201-4,35.83129637,128.5769684,2022-06-29
시월愛 가을을 그리다,대덕문화전당 드림홀,가을을 소재로한 기획공연,2019-10-19,2019-10-19,17:00,18:30,무료,대구광역시남구대덕문화전당,대구광역시남구,053-664-3131,,536,,8세이상,,,https://nam.daegu.kr/culturalcenter/index.do,www.ticketlink.co.kr,Y,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산201-4,35.83129637,128.5769684,2022-06-29
청춘예찬 합주단 정기연주회,대덕문화전당 드림홀,한문연 문화예술교육프로그램,2019-10-25,2019-10-25,17:00,18:30,무료,한국문화예술회관연합회,한국문화예술회관연합회,053-664-3131,,536,,8세이상,,,https://nam.daegu.kr/culturalcenter/index.do,www.ticketlink.co.kr,Y,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산201-4,35.83129637,128.5769684,2022-06-29
수작콘서트-라이브오,대덕문화전당 드림홀,팝,2019-11-02,2019-11-02,17:00,18:30,유료,한국문화예술회관연합회+대덕문화전당,문화체육관광부,053-664-3111,,530,20000,만4세이상,티켓링크 참고,,https://nam.daegu.kr/culturalcenter/index.do,www.ticketlink.co.kr,Y,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산201-4,35.83129637,128.5769684,2022-06-29
THE休콘서트,대덕문화전당 드림홀,앞산자락길 참여주민을 위한 공연,2019-11-09,2019-11-09,17:00,18:30,무료,대구광역시남구대덕문화전당,대구광역시남구,053-664-3131,,536,,전연령,,,https://nam.daegu.kr/culturalcenter/index.do,www.ticketlink.co.kr,Y,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산201-4,35.83129637,128.5769684,2022-06-29
남구농악단 정기연주회,대덕문화전당 드림홀,남구예술단 정기연주회,2019-11-15,2019-11-15,17:00,18:30,무료,대구광역시남구대덕문화전당,대구광역시남구,053-664-3131,,536,,8세이상,,,https://nam.daegu.kr/culturalcenter/index.do,www.ticketlink.co.kr,Y,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산201-4,35.83129637,128.5769684,2022-06-29
기획전시 남구미술협회 가을전,대덕문화전당 전시실,남구미술협회 가을전,2019-11-18,2019-11-23,10:00,18:00,무료,대구광역시남구대덕문화전당,대구광역시남구,053-664-3131,,,,8세이상,,,https://nam.daegu.kr/culturalcenter/index.do,www.ticketlink.co.kr,Y,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산201-4,35.83129637,128.5769684,2022-06-29
김영임&김용임<방방곡곡>,대덕문화전당 드림홀,한문연 방방곡곡문화공감사업,2019-12-14,2019-12-14,17:00,18:30,유료,한국문화예술회관연합회,한국문화예술회관연합회,053-664-3131,,536,,8세이상,,,https://nam.daegu.kr/culturalcenter/index.do,www.ticketlink.co.kr,Y,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산201-4,35.83129637,128.5769684,2022-06-29
청춘사운드콘서트,대덕문화전당 드림홀,대구음악창작소 1년정산 기획공연,2019-12-20,2019-12-20,20:00,22:00,유료,대구광역시남구대덕문화전당,대구광역시남구,053-664-3111,,536,,8세이상,,,https://nam.daegu.kr/culturalcenter/index.do,www.ticketlink.co.kr,Y,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산201-4,35.83129637,128.5769684,2022-06-29
송년음악회,대덕문화전당 드림홀,송년음악회,2019-12-21,2019-12-21,15:30,17:30,무료,대구광역시남구대덕문화전당,대구광역시남구,053-664-3111,,536,,전연령,,,https://nam.daegu.kr/culturalcenter/index.do,www.ticketlink.co.kr,Y,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산201-4,35.83129637,128.5769684,2022-06-29
나와의 교감 콘서트 WITH-友我樂,대구음악창작소 창공홀,크로스오버 프로젝트 그룹 무관중 온라인 스트리밍 공연,2020-08-22,2020-08-22,17:00,18:00,무료,대구광역시남구대덕문화전당,한국문화예술회관연합회,053-664-3104,문화체육관광부 한국문화예술위원회,90,,무관중,해당사항 없음,,https://nam.daegu.kr/culturalcenter/index.do,,Y,대구광역시 남구 중앙대로45길 53,대구광역시 남구 대명동 1803-31,35.8549683,128.5893079,2022-06-29
대구데이 페스티벌,빨래터 공원,해넘이 전망대 개소 기념 공연,2020-08-14,2020-08-14,19:30,21:00,무료,대구광역시남구대덕문화전당,대구광역시남구,053-664-3111,,,,전연령,해당사항 없음,,https://nam.daegu.kr/culturalcenter/index.do,,,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산201-4,35.83129637,128.5769684,2022-06-29
기획전시 나와너,대덕문화전당 전시실,지역을 대표하는 여류작가 그룹전,2020-08-24,2020-09-25,10:00,18:00,무료,대구광역시남구대덕문화전당,대구광역시남구,053-664-3111,,,,전연령,해당사항 없음,,https://nam.daegu.kr/culturalcenter/index.do,,,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산201-4,35.83129637,128.5769684,2022-06-29
대구기지 사령부 옥토버 페스타,대구기지사령부 야외골프장,주한미군과 함께하는 페스벌 공연,2020-09-19,2020-09-19,17:00,20:00,무료,대구광역시남구대덕문화전당,대구광역시남구,053-664-3111,,,,전연령,해당사항 없음,,https://nam.daegu.kr/culturalcenter/index.do,,,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산201-4,35.83129637,128.5769684,2022-06-29
추석맞이 한가위 버스킹,빨래터 공원,굿바이 코로나 2M 콘서트,2020-09-26,2020-09-26,19:00,21:00,무료,대구광역시남구대덕문화전당,대구광역시남구,053-664-3111,,,,전연령,해당사항 없음,,https://nam.daegu.kr/culturalcenter/index.do,,,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산201-4,35.83129637,128.5769684,2022-06-29
