행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관,주최기관,전화번호,후원기관,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
발렌타인 콘서트 : 아도이,달서아트센터 청룡홀,시즌콘서트,2022-02-12,2022-02-12,17:00,18:30,유료,(재)달서문화재단 웃는얼굴아트센터,(재)달서문화재단 웃는얼굴아트센터,053-584-8719,,455,50000,8세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2022-05-31
소프라노 박해상 리사이틀,달서아트센터 청룡홀,시그니처 시리즈,2022-03-25,2022-03-25,19:30,21:00,유료,(재)달서문화재단 웃는얼굴아트센터,(재)달서문화재단 웃는얼굴아트센터,053-584-8719,,455,70000,8세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2022-05-31
대구연극제 형,달서아트센터 청룡홀,대구연극제,2022-03-30,2022-03-30,16:00,17:30,유료,(사)한국연극협회 대구광역시지회,(사)한국연극협회 대구광역시지회,053-424-9426,,455,20000,8세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2022-05-31
대구연극제 형,달서아트센터 청룡홀,대구연극제,2022-03-30,2022-03-30,19:30,21:00,유료,(사)한국연극협회 대구광역시지회,(사)한국연극협회 대구광역시지회,053-424-9426,,455,20000,8세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2022-05-31
대구연극제 시간을 묻다,달서아트센터 청룡홀,대구연극제,2022-04-01,2022-04-01,16:00,17:30,유료,(사)한국연극협회 대구광역시지회,(사)한국연극협회 대구광역시지회,053-424-9426,,455,25000,8세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2022-05-31
대구연극제 시간을 묻다,달서아트센터 청룡홀,대구연극제,2022-04-01,2022-04-01,19:30,21:00,유료,(사)한국연극협회 대구광역시지회,(사)한국연극협회 대구광역시지회,053-424-9426,,455,25000,8세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2022-05-31
대구연극제 갯골의 여자들,달서아트센터 청룡홀,대구연극제,2022-04-03,2022-04-03,16:00,17:30,유료,(사)한국연극협회 대구광역시지회,(사)한국연극협회 대구광역시지회,053-424-9426,,455,20000,8세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2022-05-31
대구연극제 갯골의 여자들,달서아트센터 청룡홀,대구연극제,2022-04-03,2022-04-03,19:30,21:00,유료,(사)한국연극협회 대구광역시지회,(사)한국연극협회 대구광역시지회,053-424-9426,,455,20000,8세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2022-05-31
대구연극제 무녀도,달서아트센터 청룡홀,대구연극제,2022-04-03,2022-04-03,15:00,16:30,유료,(사)한국연극협회 대구광역시지회,(사)한국연극협회 대구광역시지회,053-424-9426,,455,20000,8세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2022-05-31
대구연극제 무녀도,달서아트센터 청룡홀,대구연극제,2022-04-03,2022-04-03,18:00,19:30,유료,(사)한국연극협회 대구광역시지회,(사)한국연극협회 대구광역시지회,053-424-9426,,455,20000,8세이상관람가,,,http://www.dscf.or.kr,,Y,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2022-05-31
