행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관,주최기관,전화번호,후원기관,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
달구벌의 맑고 아름다운 춤명기화무,대구문화예술회관 비슬홀,권명화류의 춤의 맥,2020-12-01,2020-12-01,19:00,20:20,무료,홍순이,홍순이,,,50,초대,8세이상,홈페이지참고,,http://artcenter.daegu.go.kr/content.html?md=0037&mode=view&seq=3325,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
제39회 대구작곡가협회 정기연주회,대구문화예술회관 비슬홀,제39회정기연주회,2020-12-02,2020-12-02,19:30,20:50,무료,대구 작곡가 협회,대구 작곡가 협회 이다은,,,50,초대,8세이상,홈페이지참고,,,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
새온소리 전자음악협회 <상상그리고 이상>,대구문화예술회관 비슬홀,전자 음악상상 그리고 이상,2020-12-03,2020-12-03,19:00,20:10,무료,전자음악협회 새온소리,전자음악협회 새온소리,,,50,무료,8세이상,홈페이지참고,,,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
대구시립무용단 제78회 정기공연 <DCDC On Live>,대구문화예술회관 팔공홀,제78회정기공연,2020-12-05,2020-12-05,22:00,23:00,무료,대구문화예술회관.대구시립무용단,대구문화예술회관.대구시립무용단,053-606-6196,,,무관객,,,,,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
DAC인문학극장,대구문화예술회관 비슬홀,과거와 미래를 탐구하는 인문학 강연,2020-12-09,2020-12-11,19:30,21:00,유료,예술단,예술단,053-606-6339,,50,5천원,8세이상,홈페이지참고,,,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
겨울문학제,대구문화예술회관 비슬홀,문학제 행사,2020-12-12,2020-12-12,14:00,16:00,무료,대구문인협회,대구문인협회,,,50,초대,8세이상,홈페이지참고,,,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
시민오페라단9회 정기공연,대구문화예술회관 비슬홀,제9회 정기연주회,2020-12-13,2020-12-13,17:00,18:40,무료,시민오페라단,시민오페라단,,,50,무료,8세이상,홈페이지참고,,,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
제35회 한국장애인소리예술단 정기연주회,대구문화예술회관 비슬홀,제35회 정기연주회,2020-12-15,2020-12-15,19:00,20:10,무료,(사)한국장애인소리예술단,(사)한국장애인소리예술단,,,50,무료,8세이상,홈페이지참고,,,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
365일하고 하루를 더 살았다,대구문화예술회관 팔공홀,현대무용,2020-12-18,2020-12-18,19:00,20:00,무료,정길무용단,정길무용단,,,232,무료,8세이상,홈페이지참고,,,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
수능생을 위한 덕분에 콘서트,대구문화예술회관 비슬홀,수능생을 위한 가족음악회,2020-12-19,2020-12-19,17:00,18:30,무료,대구문화예술회관,대구문화예술회관,053-606-6135,,50,무료,8세이상,홈페이지참고,,,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
제22회 예음색소폰 오케스트라 정기연주회,대구문화예술회관 팔공홀,제22회 정기 연주회,2020-12-20,2020-12-20,18:30,20:10,무료,예음색소폰 오케스트라,예음색소폰 오케스트라,,,232,무료,8세이상,홈페이지참고,,,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
박효지 제1회발표회 팔공산의 소리,대구문화예술회관 비슬홀,소리꾼 박효지만의 색깔로 풀어낸 향토민요,2020-12-20,2020-12-20,16:00,17:00,무료,박효지,박효지,,,50,무료,8세이상,홈페이지참고,,,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
대구시립극단 셰익스피어 코미디 연극 <십이야>,대구문화예술회관 팔공홀,셰익스피어의 코미디 연국,2020-12-24,2020-12-24,19:00,20:40,유료,시립극단,시립극단,053-606-6323,,232,"R석 15,000, S석 12,000",8세이상,홈페이지참고,,,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
대구시립극단 셰익스피어 코미디 연극 <십이야>,대구문화예술회관 팔공홀,셰익스피어의 코미디 연국,2020-12-25,2020-12-25,17:00,18:40,유료,시립극단,시립극단,053-606-6323,,232,"R석 15,000, S석 12,000",8세이상,홈페이지참고,,,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
연극햄삑,대구문화예술회관 비슬홀,광대왕자 햄삑이 보여주는 조금은 새로운 햄삑,2020-12-25,2020-12-25,15:00,18:00,유료,극단도적단,극단도적단,,,50,"20,000",8세이상,홈페이지참고,,,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
대구춤 페스티벌 공연,대구문화예술회관 비슬홀,춤 페스티벌,2020-12-29,2020-12-29,19:30,20:30,무료,변인숙,변인숙,,,50,초대,8세이상,홈페이지참고,,,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
"박자영 해금 독주회 -해금, 노래하다",대구문화예술회관 비슬홀,해금 독주회,2020-12-30,2020-12-30,19:00,20:00,유료,박자영,박자영,,,50,"10,000",8세이상,홈페이지참고,,,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
서명현 피아노 독주회,대구문화예술회관 비슬홀,서명현 피아노 독주회,2021-01-08,2021-01-08,19:30,21:00,무료,서명현,서명현,,,,무관객,,,,,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
경북도립교향악단 신년음악회,대구문화예술회관 팔공홀,경북도립교향악단 신년맞이 음악회,2021-01-21,2021-01-21,13:00,17:00,무료,경북도립교향악단,경북도립교향악단,,,,무관객,,홈페이지참고,,,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
모던앙상블과 함께하는 해설이 있는 음악회,대구문화예술회관 비슬홀,해설이 있는 음악회,2021-01-23,2021-01-23,16:00,17:00,무료,모던앙상블,모던앙상블,,,50,무료,8세이상,홈페이지참고,,,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
제5회 김수연 가야금 독주회,대구문화예술회관 비슬홀,12현의 음색을 다양하게 표현한 독주회,2021-01-30,2021-01-30,16:00,17:00,무료,김수연,김수연,,,107,무료,8세이상,홈페이지참고,,,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
은장도,대구문화예술회관 비슬홀,강인한 모습을 상징하는 은장도에서 영감받은 현대무용,2021-02-19,2021-02-20,16:00,18:00,유료,고블린파티,고블린파티,,,107,유료,8세이상,홈페이지참고,,https://artcenter.daegu.go.kr/content.html?md=0037&mode=view&seq=3562,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
새로운 시민의 날,대구문화예술회관 팔공홀,자랑스러운 대구 시민의 날 기념공연,2021-02-21,2021-02-21,14:00,16:00,무료,대구광역시,대구문화재단,,,467,초대,8세이상,홈페이지참고,,,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
대구문화예술회관 기획공연 새해희망콘서트,대구문화예술회관 팔공홀,새해 희망을 담은 신년음악회,2021-02-25,2021-02-25,19:30,21:30,무료,대구문화예술회관,대구문화예술회관,053-606-6135,,467,무료,8세이상,홈페이지참고,,https://artcenter.daegu.go.kr/content.html?md=0037&mode=view&seq=3561,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
김민지 가야금 독주회,대구문화예술회관 비슬홀,전통악기 가야금 독주회,2021-03-04,2021-03-04,16:00,18:00,무료,김민지,김민지,,,107,초대,8세이상,홈페이지참고,,https://artcenter.daegu.go.kr/content.html?md=0037&mode=view&seq=3567,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
금재현과 함게하는 해금연주회,대구문화예술회관 비슬홀,전통악기 해금 독주회,2021-03-06,2021-03-06,16:00,17:30,무료,금재현,금재현,,,107,초대,8세이상,홈페이지참고,,https://artcenter.daegu.go.kr/content.html?md=0037&mode=view&seq=3566,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
대구시립합창단 제151회 정기연주회,대구문화예술회관 팔공홀,대구시립합창단의 새로운 봄을 맞으며 정기공연,2021-03-16,2021-03-16,19:30,22:00,유료,대구시립예술단,대구시립합창단,053-606-6314,,467,"A석 16,000석 / B석 10,000원",8세이상,홈페이지참고,,https://artcenter.daegu.go.kr/content.html?md=0037&mode=view&seq=3590,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
대구시립국악단 제25회 청소년 및 제2회 대학(원)생 협주곡의 밤,대구문화예술회관 팔공홀,대구시립국악단 청소년 및 대학(원)생 협주곡의 밤,2021-03-18,2021-03-18,19:30,22:00,무료,대구문화예술회관,대구시립국악단,053-606-6193,,467,무료,8세이상,홈페이지참고,,https://artcenter.daegu.go.kr/content.html?md=0037&mode=view&seq=3570,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
2021 대구시립극단 단원 창작 프로젝트 <바이러스>,대구문화예술회관 비슬홀,대구시립극단 단원 창작 프로젝트 <바이러스>,2021-03-18,2021-03-18,13:00,14:00,무료,대구문화예술회관,대구시립극단,053-606-6323,,107,무료,8세이상,홈페이지참고,,https://artcenter.daegu.go.kr/content.html?md=0037&mode=view&seq=3591,,y,대구광역시 달서구 공원순환로 201,,35.844789,128.5581006,2021-08-10
