행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관,주최기관,전화번호,후원기관,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
마토콘서트Ⅰ) <천막극장>,야외광장(야외공연),콘서트+연극,2021-02-26,2021-02-27,19:30,18:00,무료,대구광역시 서구문화회관,대구광역시 서구문화회관,053-663-3081,,100,무료,8세이상,없음,,https://www.dgs.go.kr/culture/index.php,,Y,대구광역시 서구 당산로 403,대구광역시 서구 이현동 48-144,35.87279161,128.5455357,2022-06-10
로코연극 <보잉보잉>,서구문화회관 공연장,연극,2021-03-12,2021-03-13,19:30,18:30,무료,세종공연예술센터,대구광역시 서구문화회관,053-663-3081,,442,무료,15세이상,없음,,https://www.dgs.go.kr/culture/index.php,,Y,대구광역시 서구 당산로 403,대구광역시 서구 이현동 48-144,35.87279161,128.5455357,2022-06-10
어린이뮤지컬 <신데렐라>,서구문화회관 공연장,뮤지컬,2021-03-20,2021-03-20,11:00,17:00,무료,극단 온누리,대구광역시 서구문화회관,053-663-3081,,442,무료,36개월이상,없음,,https://www.dgs.go.kr/culture/index.php,,Y,대구광역시 서구 당산로 403,대구광역시 서구 이현동 48-144,35.87279161,128.5455357,2022-06-10
마토콘서트Ⅱ) <박미경과 함께하는 팝스콘서트>,서구문화회관 공연장,클래식,2021-03-27,2021-03-27,17:00,18:30,무료,로얄팝스오케스트라,대구광역시 서구문화회관,053-663-3081,,442,무료,10세이상,없음,,https://www.dgs.go.kr/culture/index.php,,Y,대구광역시 서구 당산로 403,대구광역시 서구 이현동 48-144,35.87279161,128.5455357,2022-06-10
피아노 음악회 <헬로 88>,서구문화회관 공연장,클래식,2021-04-05,2021-04-09,19:30,21:00,무료,대구광역시 서구문화회관,대구광역시 서구문화회관,053-663-3081,,442,무료,10세이상,없음,,https://www.dgs.go.kr/culture/index.php,,Y,대구광역시 서구 당산로 403,대구광역시 서구 이현동 48-144,35.87279161,128.5455357,2022-06-10
마토콘서트Ⅲ) 오케스트라 콘서트 <헬로 아리아>,서구문화회관 공연장,클래식,2021-04-24,2021-04-24,17:00,18:30,무료,CM심포니오케스트라,대구광역시 서구문화회관,053-663-3081,,442,무료,10세이상,없음,,https://www.dgs.go.kr/culture/index.php,,Y,대구광역시 서구 당산로 403,대구광역시 서구 이현동 48-144,35.87279161,128.5455357,2022-06-10
렉처콘서트Ⅰ) <유럽 극장을 거닐다>,서구문화회관 공연장,클래식,2021-04-28,2021-04-28,19:30,21:00,무료,대구광역시 서구문화회관,대구광역시 서구문화회관,053-663-3081,,442,무료,10세이상,없음,,https://www.dgs.go.kr/culture/index.php,,Y,대구광역시 서구 당산로 403,대구광역시 서구 이현동 48-144,35.87279161,128.5455357,2022-06-10
토요상설공연 <숲속열린음악회 with 이현공원> Part 1,이현공원(야외공연),대중,2021-05-01,2021-05-01,17:00,18:30,무료,대구광역시 서구문화회관+TBN대구교통방송,대구광역시 서구문화회관,053-663-3081,,350,무료,10세이상,없음,,https://www.dgs.go.kr/culture/index.php,,Y,대구광역시 서구 당산로 403,대구광역시 서구 이현동 48-144,35.87279161,128.5455357,2022-06-10
토요상설공연 <숲속열린음악회 with 이현공원> Part 2,이현공원(야외공연),대중,2021-05-08,2021-05-08,17:00,18:30,무료,대구광역시 서구문화회관+TBN대구교통방송,대구광역시 서구문화회관,053-663-3081,,350,무료,10세이상,없음,,https://www.dgs.go.kr/culture/index.php,,Y,대구광역시 서구 당산로 403,대구광역시 서구 이현동 48-144,35.87279161,128.5455357,2022-06-10
토요상설공연 <숲속열린음악회 with 이현공원> Part 3,이현공원(야외공연),대중,2021-05-15,2021-05-15,17:00,18:30,무료,대구광역시 서구문화회관+도로교통공단+TBN대구교통방송,대구광역시 서구문화회관,053-663-3081,,350,무료,10세이상,없음,,https://www.dgs.go.kr/culture/index.php,,Y,대구광역시 서구 당산로 403,대구광역시 서구 이현동 48-144,35.87279161,128.5455357,2022-06-10
