행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관,주최기관,전화번호,후원기관,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
꽃이 피고 비가 내리면,봉산문화회관 스페이스라온,뮤지컬 리딩공연,2017-01-12,2017-01-14,19:30,20:30,무료,아트팩토리 윤성,아트팩토리 윤성,053-628-2230,,90,전석 무료,8세 이상,홈페이지 참조,,bongsanart.jung.daegu.kr,기획사전화,Y,대구광역시 중구 봉산문화길 77,대구광역시 중구 봉산동 125,35.86339725,128.5965618,2022-06-10
손오공,봉산문화회관 가온홀,뮤지컬,2017-02-11,2017-02-11,13:00,13:55,유료,극단챔프,극단챔프,,,424,전석 25000원,24개월 이상,홈페이지 참조,,bongsanart.jung.daegu.kr,기획사전화,Y,대구광역시 중구 봉산문화길 77,대구광역시 중구 봉산동 125,35.86339725,128.5965618,2022-06-10
손오공,봉산문화회관 가온홀,뮤지컬,2017-02-11,2017-02-11,15:00,15:55,유료,극단챔프,극단챔프,,,424,전석 25000원,24개월 이상,홈페이지 참조,,bongsanart.jung.daegu.kr,기획사전화,Y,대구광역시 중구 봉산문화길 77,대구광역시 중구 봉산동 125,35.86339725,128.5965618,2022-06-10
대구리코더앙상블 제9회 정기연주회,봉산문화회관 가온홀,리코더연주,2017-02-12,2017-02-12,19:00,21:00,무료,리코더앙상블,리코더앙상블,,,424,전석 무료,전체관람가,홈페이지 참조,,bongsanart.jung.daegu.kr,기획사전화,Y,대구광역시 중구 봉산문화길 77,대구광역시 중구 봉산동 125,35.86339725,128.5965618,2022-06-10
이상국의 힐링콘서트5,봉산문화회관 가온홀,토크콘서트,2017-02-16,2017-02-17,20:00,21:00,유료,호야엔터테인먼트,호야엔터테인먼트,1855-0687,,424,VVIP 55000+VIP 44000,15세 이상,홈페이지 참조,,bongsanart.jung.daegu.kr,www.ticketlink.co.kr,Y,대구광역시 중구 봉산문화길 77,대구광역시 중구 봉산동 125,35.86339725,128.5965618,2022-06-10
이즈뮤직페스티벌,봉산문화회관 가온홀,음악,2017-02-18,2017-02-18,19:00,20:40,유료,이즈실용음악학원,이즈실용음악학원,053-294-3411,,424,일반 10000+학생 5000원,전체관람가,홈페이지 참조,,bongsanart.jung.daegu.kr,기획사전화,Y,대구광역시 중구 봉산문화길 77,대구광역시 중구 봉산동 125,35.86339725,128.5965618,2022-06-10
기적소리,봉산문화회관 가온홀,뮤지컬,2017-02-23,2017-02-26,19:30,21:10,유료,대구메트로아트센터,대구메트로아트센터,053-795-0303,대구도시철도공사+국채보상운동기념사업회,424,VIP석 55000원+R석 44000원+S석 33000원,8세 이상,홈페이지 참조,,bongsanart.jung.daegu.kr,www.interpark.com+www.ticketlink.co.kr+기획사전화,Y,대구광역시 중구 봉산문화길 77,대구광역시 중구 봉산동 125,35.86339725,128.5965618,2022-06-10
기적소리,봉산문화회관 가온홀,뮤지컬,2017-02-24,2017-02-26,19:30,21:10,유료,대구메트로아트센터,대구메트로아트센터,053-795-0303,대구도시철도공사+국채보상운동기념사업회,424,VIP석 55000원+R석 44000원+S석 33000원,8세 이상,홈페이지 참조,,bongsanart.jung.daegu.kr,www.interpark.com+www.ticketlink.co.kr+기획사전화,Y,대구광역시 중구 봉산문화길 77,대구광역시 중구 봉산동 125,35.86339725,128.5965618,2022-06-10
기적소리,봉산문화회관 가온홀,뮤지컬,2017-02-25,2017-02-26,15:00,16:40,유료,대구메트로아트센터,대구메트로아트센터,053-795-0303,대구도시철도공사+국채보상운동기념사업회,424,VIP석 55000원+R석 44000원+S석 33000원,8세 이상,홈페이지 참조,,bongsanart.jung.daegu.kr,www.interpark.com+www.ticketlink.co.kr+기획사전화,Y,대구광역시 중구 봉산문화길 77,대구광역시 중구 봉산동 125,35.86339725,128.5965618,2022-06-10
기적소리,봉산문화회관 가온홀,뮤지컬,2017-02-25,2017-02-26,19:30,21:10,유료,대구메트로아트센터,대구메트로아트센터,053-795-0303,대구도시철도공사+국채보상운동기념사업회,424,VIP석 55000원+R석 44000원+S석 33000원,8세 이상,홈페이지 참조,,bongsanart.jung.daegu.kr,www.interpark.com+www.ticketlink.co.kr+기획사전화,Y,대구광역시 중구 봉산문화길 77,대구광역시 중구 봉산동 125,35.86339725,128.5965618,2022-06-10
기적소리,봉산문화회관 가온홀,뮤지컬,2017-02-26,2017-02-26,15:00,16:40,유료,대구메트로아트센터,대구메트로아트센터,053-795-0303,대구도시철도공사+국채보상운동기념사업회,424,VIP석 55000원+R석 44000원+S석 33000원,8세 이상,홈페이지 참조,,bongsanart.jung.daegu.kr,www.interpark.com+www.ticketlink.co.kr+기획사전화,Y,대구광역시 중구 봉산문화길 77,대구광역시 중구 봉산동 125,35.86339725,128.5965618,2022-06-10
기적소리,봉산문화회관 가온홀,뮤지컬,2017-02-26,2017-02-26,19:30,21:10,유료,대구메트로아트센터,대구메트로아트센터,053-795-0303,대구도시철도공사+국채보상운동기념사업회,424,VIP석 55000원+R석 44000원+S석 33000원,8세 이상,홈페이지 참조,,bongsanart.jung.daegu.kr,www.interpark.com+www.ticketlink.co.kr+기획사전화,Y,대구광역시 중구 봉산문화길 77,대구광역시 중구 봉산동 125,35.86339725,128.5965618,2022-06-10
대구연극제 우리집에 왜왔니?,봉산문화회관 가온홀,연극,2017-03-11,2017-03-26,16:00,17:20,유료,대구연극협회,대구연극협회,053-628-7463,,424,일반 20000원+학생 10000원,17세 이상,홈페이지 참조,,bongsanart.jung.daegu.kr,www.ticketlink.co.kr+기획사전화,Y,대구광역시 중구 봉산문화길 77,대구광역시 중구 봉산동 125,35.86339725,128.5965618,2022-06-10
대구연극제 우리집에 왜왔니?,봉산문화회관 가온홀,연극,2017-03-11,2017-03-26,19:30,20:50,유료,대구연극협회,대구연극협회,053-628-7463,,424,일반 20000원+학생 10000원,17세 이상,홈페이지 참조,,bongsanart.jung.daegu.kr,www.ticketlink.co.kr+기획사전화,Y,대구광역시 중구 봉산문화길 77,대구광역시 중구 봉산동 125,35.86339725,128.5965618,2022-06-10
