행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관,주최기관,전화번호,후원기관,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
2019 K리그1 서울vs포항,주경기장,축구경기,2019-03-03,2019-03-03,14:00,16:00,유료,(주)GS스포츠,(주)GS스포츠,02-306-5050,,66704,홈페이지 참조,전체,홈페이지 참조,,www.fcseoul.com,홈페이지 참조,Y,서울특별시 마포구 월드컵로240,서울특별시 마포구 성산동 420,37.568289,126.897256,2021-10-29
2019 K리그1 서울vs제주,주경기장,축구경기,2019-03-16,2019-03-16,16:00,18:00,유료,(주)GS스포츠,(주)GS스포츠,02-306-5050,,66704,홈페이지 참조,전체,홈페이지 참조,,www.fcseoul.com,홈페이지 참조,Y,서울특별시 마포구 월드컵로240,서울특별시 마포구 성산동 420,37.568289,126.897256,2021-10-29
축구국가대표팀 친선경기 대한민국vs콜롬비아,주경기장,축구경기,2019-03-26,2019-03-26,20:00,22:00,유료,대한축구협회,대한축구협회,02-2002-0707,,66704,홈페이지 참조,전체,홈페이지 참조,,https://www.kfa.or.kr,홈페이지 참조,Y,서울특별시 마포구 월드컵로240,서울특별시 마포구 성산동 420,37.568289,126.897256,2021-10-29
2019 K리그1 서울vs상주,주경기장,축구경기,2019-03-30,2019-03-30,14:00,16:00,유료,(주)GS스포츠,(주)GS스포츠,02-306-5050,,66704,홈페이지 참조,전체,홈페이지 참조,,www.fcseoul.com,홈페이지 참조,Y,서울특별시 마포구 월드컵로240,서울특별시 마포구 성산동 420,37.568289,126.897256,2021-10-29
2019 K리그1 서울vs경남,주경기장,축구경기,2019-04-06,2019-04-06,14:00,16:00,유료,(주)GS스포츠,(주)GS스포츠,02-306-5050,,66704,홈페이지 참조,전체,홈페이지 참조,,www.fcseoul.com,홈페이지 참조,Y,서울특별시 마포구 월드컵로240,서울특별시 마포구 성산동 420,37.568289,126.897256,2021-10-29
2019 K리그1 서울vs인천,주경기장,축구경기,2019-04-21,2019-04-21,16:00,18:00,유료,(주)GS스포츠,(주)GS스포츠,02-306-5050,,66704,홈페이지 참조,전체,홈페이지 참조,,www.fcseoul.com,홈페이지 참조,Y,서울특별시 마포구 월드컵로240,서울특별시 마포구 성산동 420,37.568289,126.897256,2021-10-29
2019 K리그1 서울vs대구,주경기장,축구경기,2019-05-11,2019-05-11,19:00,21:00,유료,(주)GS스포츠,(주)GS스포츠,02-306-5050,,66704,홈페이지 참조,전체,홈페이지 참조,,www.fcseoul.com,홈페이지 참조,Y,서울특별시 마포구 월드컵로240,서울특별시 마포구 성산동 420,37.568289,126.897256,2021-10-29
2019 드림콘서트,주경기장,콘서트,2019-05-18,2019-05-18,18:00,22:00,유료,한국연예제작자협회,한국연예제작자협회,02-876-7637,,66704,홈페이지 참조,8세 이상,홈페이지 참조,,http://www.kepa.net,홈페이지 참조,Y,서울특별시 마포구 월드컵로240,서울특별시 마포구 성산동 420,37.568289,126.897256,2021-10-29
2019 K리그1 서울vs성남,주경기장,축구경기,2019-05-28,2019-05-28,19:30,21:30,유료,(주)GS스포츠,(주)GS스포츠,02-306-5050,,66704,홈페이지 참조,전체,홈페이지 참조,,www.fcseoul.com,홈페이지 참조,Y,서울특별시 마포구 월드컵로240,서울특별시 마포구 성산동 420,37.568289,126.897256,2021-10-29
축구국가대표팀 친선경기 대한민국vs이란,주경기장,축구경기,2019-06-11,2019-06-11,20:00,22:00,유료,대한축구협회,대한축구협회,02-2002-0707,,66704,홈페이지 참조,전체,홈페이지 참조,,https://www.kfa.or.kr,홈페이지 참조,Y,서울특별시 마포구 월드컵로240,서울특별시 마포구 성산동 420,37.568289,126.897256,2021-10-29
2019 K리그1 서울vs수원,주경기장,축구경기,2019-06-16,2019-06-16,19:00,21:00,유료,(주)GS스포츠,(주)GS스포츠,02-306-5050,,66704,홈페이지 참조,전체,홈페이지 참조,,www.fcseoul.com,홈페이지 참조,Y,서울특별시 마포구 월드컵로240,서울특별시 마포구 성산동 420,37.568289,126.897256,2021-10-29
2019 K리그1 서울vs울산,주경기장,축구경기,2019-06-30,2019-06-30,19:00,21:00,유료,(주)GS스포츠,(주)GS스포츠,02-306-5050,,66704,홈페이지 참조,전체,홈페이지 참조,,www.fcseoul.com,홈페이지 참조,Y,서울특별시 마포구 월드컵로240,서울특별시 마포구 성산동 420,37.568289,126.897256,2021-10-29
2019 K리그1 서울vs강원,주경기장,축구경기,2019-07-06,2019-07-06,19:00,21:00,유료,(주)GS스포츠,(주)GS스포츠,02-306-5050,,66704,홈페이지 참조,전체,홈페이지 참조,,www.fcseoul.com,홈페이지 참조,Y,서울특별시 마포구 월드컵로240,서울특별시 마포구 성산동 420,37.568289,126.897256,2021-10-29
2019 K리그1 서울vs전북,주경기장,축구경기,2019-07-20,2019-07-20,19:00,21:00,유료,(주)GS스포츠,(주)GS스포츠,02-306-5050,,66704,홈페이지 참조,전체,홈페이지 참조,,www.fcseoul.com,홈페이지 참조,Y,서울특별시 마포구 월드컵로240,서울특별시 마포구 성산동 420,37.568289,126.897256,2021-10-29
2019 K리그1 서울vs대구,주경기장,축구경기,2019-08-02,2019-08-02,20:00,22:00,유료,(주)GS스포츠,(주)GS스포츠,02-306-5050,,66704,홈페이지 참조,전체,홈페이지 참조,,www.fcseoul.com,홈페이지 참조,Y,서울특별시 마포구 월드컵로240,서울특별시 마포구 성산동 420,37.568289,126.897256,2021-10-29
2019 K리그1 서울vs강원,주경기장,축구경기,2019-08-11,2019-08-11,20:00,22:00,유료,(주)GS스포츠,(주)GS스포츠,02-306-5050,,66704,홈페이지 참조,전체,홈페이지 참조,,www.fcseoul.com,홈페이지 참조,Y,서울특별시 마포구 월드컵로240,서울특별시 마포구 성산동 420,37.568289,126.897256,2021-10-29
2019 K리그1 서울vs전북,주경기장,축구경기,2019-09-01,2019-09-01,19:00,21:00,유료,(주)GS스포츠,(주)GS스포츠,02-306-5050,,66704,홈페이지 참조,전체,홈페이지 참조,,www.fcseoul.com,홈페이지 참조,Y,서울특별시 마포구 월드컵로240,서울특별시 마포구 성산동 420,37.568289,126.897256,2021-10-29
2019 K리그1 서울vs인천,주경기장,축구경기,2019-09-15,2019-09-15,17:00,19:00,유료,(주)GS스포츠,(주)GS스포츠,02-306-5050,,66704,홈페이지 참조,전체,홈페이지 참조,,www.fcseoul.com,홈페이지 참조,Y,서울특별시 마포구 월드컵로240,서울특별시 마포구 성산동 420,37.568289,126.897256,2021-10-29
