행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관,주최기관,전화번호,후원기관,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
신나는 콘서트<2022 강북트롯체전>,서울특별시 강북구 강북문화예술회관 대공연장,공연,2022-04-28,2022-04-28,14:00,16:00,무료,강북문화재단(문화사업팀),강북문화재단(문화사업팀),02-994-8459,,470,,전 연령,,코로나 예방 관람 수칙 준수,http://gbcf.or.kr,http://gbcf.or.kr,Y,서울특별시 강북구 삼각산로 85,서울특별시 강북구 수유동 360-10,37.64098943,127.0138774,2022-05-27
예술의전당 SAC on Screen 뮤지컬 명성황후,서울특별시 강북구 강북문화예술회관 대공연장,뮤지컬,2022-05-12,2022-05-12,19:00,21:00,무료,강북문화재단(문화사업팀),강북문화재단(문화사업팀),02-994-8459,,470,,8세이상,,코로나 예방 관람 수칙 준수,http://gbcf.or.kr,http://gbcf.or.kr,Y,서울특별시 강북구 삼각산로 85,서울특별시 강북구 수유동 360-10,37.64098943,127.0138774,2022-05-27
예술의전당 SAC on Screen 발레 지젤,서울특별시 강북구 강북문화예술회관 대공연장,발레,2022-05-26,2022-05-26,19:00,21:00,무료,강북문화재단(문화사업팀),강북문화재단(문화사업팀),02-994-8545,,470,,8세이상,,코로나 예방 관람 수칙 준수,http://gbcf.or.kr,http://gbcf.or.kr,Y,서울특별시 강북구 삼각산로 85,서울특별시 강북구 수유동 360-10,37.64098943,127.0138774,2022-05-27
예술의전당 SAC on Screen 오페라 마술피리,서울특별시 강북구 강북문화예술회관 대공연장,오페라,2022-07-14,2022-07-14,19:00,21:00,무료,강북문화재단(문화사업팀),강북문화재단(문화사업팀),02-994-8545,,470,,8세이상,,코로나 예방 관람 수칙 준수,http://gbcf.or.kr,http://gbcf.or.kr,Y,서울특별시 강북구 삼각산로 85,서울특별시 강북구 수유동 360-10,37.64098943,127.0138774,2022-05-27
강북구립 청소년오케스트라 정기연주회,서울특별시 강북구 강북문화예술회관 대공연장,오케스트라,2022-07-16,2022-07-16,16:00,18:00,무료,강북문화재단(문화사업팀),강북문화재단(문화사업팀),02-994-8545,,666,,8세이상,,코로나 예방 관람 수칙 준수,http://gbcf.or.kr,http://gbcf.or.kr,Y,서울특별시 강북구 삼각산로 85,서울특별시 강북구 수유동 360-10,37.64098943,127.0138774,2022-05-27
예술의전당 SAC on Screen 디토 파라디소,서울특별시 강북구 강북문화예술회관 대공연장,클래식,2022-07-28,2022-07-28,19:00,21:00,무료,강북문화재단(문화사업팀),강북문화재단(문화사업팀),02-994-8545,,470,,8세이상,,코로나 예방 관람 수칙 준수,http://gbcf.or.kr,http://gbcf.or.kr,Y,서울특별시 강북구 삼각산로 85,서울특별시 강북구 수유동 360-10,37.64098943,127.0138774,2022-05-27
강북구립 시니어합창단 정기공연,서울특별시 강북구 강북문화예술회관 대공연장,합창,2022-09-01,2022-09-01,19:00,21:00,무료,강북문화재단(문화사업팀),강북문화재단(문화사업팀),02-994-8548,,666,,8세이상,,코로나 예방 관람 수칙 준수,http://gbcf.or.kr,http://gbcf.or.kr,Y,서울특별시 강북구 삼각산로 85,서울특별시 강북구 수유동 360-10,37.64098943,127.0138774,2022-05-27
서울시립교향악단<우리동네 음악회> 실내악 공연,서울특별시 강북구 강북문화예술회관 대공연장,클래식,2022-11-23,2022-11-23,19:00,21:00,무료,강북문화재단(문화사업팀),강북문화재단(문화사업팀),02-994-8458,,174~666,,8세이상,,코로나 예방 관람 수칙 준수,http://gbcf.or.kr,http://gbcf.or.kr,Y,서울특별시 강북구 삼각산로 85,서울특별시 강북구 수유동 360-10,37.64098943,127.0138774,2022-05-27
어린이 무용동화<공주전>,서울특별시 강북구 강북문화예술회관 대공연장,어린이무용,2022-12-09,2022-12-10,16:00,18:00,무료,강북문화재단(문화사업팀),강북문화재단(문화사업팀),02-994-8458,,348~1332,,전 연령,,코로나 예방 관람 수칙 준수,http://gbcf.or.kr,http://gbcf.or.kr,Y,서울특별시 강북구 삼각산로 85,서울특별시 강북구 수유동 360-10,37.64098943,127.0138774,2022-05-27
강북구립소년소녀합창단 정기연주회,서울특별시 강북구 강북문화예술회관 대공연장,합창,2022-12-17,2022-12-17,19:00,21:00,무료,강북문화재단(문화사업팀),강북문화재단(문화사업팀),02-994-8458,,174~666,,8세이상,,코로나 예방 관람 수칙 준수,http://gbcf.or.kr,http://gbcf.or.kr,Y,서울특별시 강북구 삼각산로 85,서울특별시 강북구 수유동 360-10,37.64098943,127.0138774,2022-05-27
