행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관,주최기관,전화번호,후원기관,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
<빛의 바다 展 : 빛을 품은 금천>,금나래아트홀,전시,2021-09-01,2021-09-15,9:00,18:00,무료,금천문화재단,금천문화재단,02-2627-2999,,,,,,,https://gcfac.or.kr/,,,서울특별시 금천구 시흥대로73길 70,,37.45706511,126.8960352,2022-05-25
가족 뮤지컬 - 목짧은 기린 지피,금나래아트홀,공연,2021-10-17,2021-10-17,9:00,18:00,유료,금천문화재단,금천문화재단,02-2627-2999,,,20000,,,,https://gcfac.or.kr/,,,서울특별시 금천구 시흥대로73길 70,,37.45706511,126.8960352,2022-05-25
교과서 속 전국팔도여행,금나래아트홀,공연,2010-10-02,2010-10-02,9:00,18:00,유료,금천문화재단,금천문화재단,02-2627-2999,,,10000,,,,https://gcfac.or.kr/,,,서울특별시 금천구 시흥대로73길 70,,37.45706511,126.8960352,2022-05-25
구민의 날 기념 <특콘-특별한 트롯 콘서트>,금나래아트홀,공연,2021-10-07,2021-10-07,9:00,18:00,무료,금천문화재단,금천문화재단,02-2627-2999,,,,,,,https://gcfac.or.kr/,,,서울특별시 금천구 시흥대로73길 70,,37.45706511,126.8960352,2022-05-25
"금천아티스트-랩 결과전시, 구민 참여 워크숍",금나래아트홀,전시,2021-11-12,2021-12-17,9:00,18:00,무료,금천문화재단,금천문화재단,02-2627-2999,,,,,,,https://gcfac.or.kr/,,,서울특별시 금천구 시흥대로73길 70,,37.45706511,126.8960352,2022-05-25
라벨 어미거위,금나래아트홀,공연,2021-11-06,2021-11-06,9:00,18:00,유료,금천문화재단,금천문화재단,02-2627-2999,,,10000,,,,https://gcfac.or.kr/,,,서울특별시 금천구 시흥대로73길 70,,37.45706511,126.8960352,2022-05-25
뮤지컬 - 넌 특별하단다,금나래아트홀,공연,2021-11-17,2021-11-18,9:00,18:00,무료,금천문화재단,금천문화재단,02-2627-2999,,,,,,,https://gcfac.or.kr/,,,서울특별시 금천구 시흥대로73길 70,,37.45706511,126.8960352,2022-05-25
뮤지컬 _ 그날을 기약하며,금나래아트홀,공연,2021-09-15,2021-09-15,9:00,18:00,무료,금천문화재단,금천문화재단,02-2627-2999,,,,,,,https://gcfac.or.kr/,,,서울특별시 금천구 시흥대로73길 70,,37.45706511,126.8960352,2022-05-25
서울네오예술단의 <The Night of Russia>,금나래아트홀,공연,2021-10-29,2021-10-29,9:00,18:00,무료,금천문화재단,금천문화재단,02-2627-2999,,,,,,,https://gcfac.or.kr/,,,서울특별시 금천구 시흥대로73길 70,,37.45706511,126.8960352,2022-05-25
서울시립교향악단 <우리동네 음악회>,금나래아트홀,공연,2021-09-28,2021-09-28,9:00,18:00,무료,금천문화재단,금천문화재단,02-2627-2999,,,,,,,https://gcfac.or.kr/,,,서울특별시 금천구 시흥대로73길 70,,37.45706511,126.8960352,2022-05-25
송년콘서트 [국악 페스티벌],금나래아트홀,공연,2021-12-09,2021-12-10,9:00,18:00,유료,금천문화재단,금천문화재단,02-2627-2999,,,20000,,,,https://gcfac.or.kr/,,,서울특별시 금천구 시흥대로73길 70,,37.45706511,126.8960352,2022-05-25
옷깃,금나래아트홀,공연,2021-09-07,2021-09-07,9:00,18:00,무료,금천문화재단,금천문화재단,02-2627-2999,,,,,,,https://gcfac.or.kr/,,,서울특별시 금천구 시흥대로73길 70,,37.45706511,126.8960352,2022-05-25
유니버설발레단 <호두까기인형 갈라>,금나래아트홀,공연,2021-11-20,2021-12-20,9:00,18:00,유료,금천문화재단,금천문화재단,02-2627-2999,,,20000,,,,https://gcfac.or.kr/,,,서울특별시 금천구 시흥대로73길 70,,37.45706511,126.8960352,2022-05-25
창작 현대 무용 <억울한 누명>,금나래아트홀,공연,2021-09-08,2021-09-08,9:00,18:00,무료,금천문화재단,금천문화재단,02-2627-2999,,,,,,,https://gcfac.or.kr/,,,서울특별시 금천구 시흥대로73길 70,,37.45706511,126.8960352,2022-05-25
토리 : 행복을 찾아서,금나래아트홀,공연,2021-10-26,2021-10-26,9:00,18:00,유료,금천문화재단,금천문화재단,02-2627-2999,,,10000,,,,https://gcfac.or.kr/,,,서울특별시 금천구 시흥대로73길 70,,37.45706511,126.8960352,2022-05-25
힐링동화발레극 <백조의호수>,금나래아트홀,공연,2021-11-26,2021-12-26,9:00,18:00,무료,금천문화재단,금천문화재단,02-2627-2999,,,,,,,https://gcfac.or.kr/,,,서울특별시 금천구 시흥대로73길 70,,37.45706511,126.8960352,2022-05-25
