,채널이름,조회수
0,tvN drama,"146,548,852"
1,tvN drama,"101,751,604"
2,Stop Motion Cooking,"104,171,722"
3,Stop Motion Cooking,"133,799,823"
4,트리라인treeline,"151,185,946"
5,Fast cooking,"152,555,392"
6,Fast cooking,"240,972,463"
7,Stop Motion Cooking,"89,379,800"
8,tvN D ENT,"101,624,053"
9,Mnet TV,"190,336,066"
10,BIBO와 장난감,"222,476,197"
11,BIBO와 장난감,"155,969,299"
12,BIBO와 장난감,"112,386,671"
13,TREASURE (트레저),"77,239,022"
14,BIBO와 장난감,"105,430,764"
15,옐언니,"117,331,146"
16,Lala and Lulu,"117,218,548"
17,뚝딱 상식 뚝배기,"90,622,336"
