,채널이름,조회수
2021-01,짤툰,"36,027,516"
2021-02,짤툰,"34,768,291"
2021-03,짤툰,"36,745,248"
2021-04,Hwang jae ahn fictions,"18,531,437"
2021-05,짤툰,"25,184,788"
2021-06,MOOMOO STUDIO,"43,264,364"
2021-07,Ace Art 에이스 아트,"39,936,104"
2021-08,짤툰,"45,118,928"
2021-09,짤툰,"35,391,901"
2021-10,소맥거핀,"116,190,407"
2021-11,소맥거핀,"47,580,803"
2021-12,짤툰,"37,072,949"
2022-01,짤툰,"30,208,115"
2022-02,스마일밤 Smile Bam,"29,359,993"
2022-03,짤툰,"41,577,078"
2022-04,짤툰,"45,916,238"
2022-05,부산따쟁이,"98,385,543"
2022-06,리뷰타임 Review Time,"84,799,472"
