날짜,실제,이전
Jan-19,1.75%,1.75%
Feb-19,1.75%,1.75%
Mar-19,1.75%,1.75%
Apr-19,1.75%,1.75%
May-19,1.75%,1.75%
Jun-19,1.75%,1.75%
Jul-19,1.75%,1.75%
Aug-19,1.50%,1.75%
Sep-19,1.50%,1.50%
Oct-19,1.50%,1.50%
Nov-19,1.25%,1.50%
Dec-19,1.25%,1.25%
Jan-20,1.25%,
Feb-20,1.25%,
Mar-20,1.25%,
Apr-20,0.75%,
May-20,0.75%,
Jun-20,0.75%,
Jul-20,0.50%,
Aug-20,0.50%,
Sep-20,0.50%,
Oct-20,0.50%,
Nov-20,0.50%,
Dec-20,0.50%,
Jan-21,0.50%,
Feb-21,0.50%,
Mar-21,0.50%,
Apr-21,0.50%,
May-21,0.50%,
Jun-21,0.50%,
Jul-21,0.50%,
Aug-21,0.50%,
Sep-21,0.75%,
Oct-21,0.75%,
Nov-21,0.75%,
Dec-21,1.00%,
Jan-22,1.00%,
Feb-22,1.25%,
Mar-22,1.25%,
Apr-22,1.25%,
May-22,1.50%,
Jun-22,1.75%,
Jul-22,1.75%,
