일자,총수익지수_종가,총수익지수_대비,순가격지수_종가,순가격지수_대비,제로재투자지수_종가,제로재투자지수_대비,콜재투자지수_종가,콜재투자지수_대비,시장가격지수_종가,시장가격지수_대비,듀레이션,컨벡시티,YTM
"2022/06/30","175.37","0.27","97.36","0.15","171.58","0.23","175.18","0.23","99.09","0.15","5.307","79.847","3.623"
"2022/06/29","175.10","0.04","97.21","0.02","171.35","0.03","174.95","0.04","98.94","0.02","5.272","78.901","3.617"
"2022/06/28","175.06","0.20","97.19","0.10","171.32","0.17","174.91","0.17","98.92","0.11","5.273","78.926","3.610"
"2022/06/27","174.86","-0.59","97.09","-0.33","171.15","-0.49","174.74","-0.49","98.81","-0.34","5.258","78.493","3.611"
"2022/06/26","175.45","0.02","97.42","0.00","171.64","0.01","175.23","0.01","99.15","0.01","5.267","78.645","3.555"
"2022/06/25","175.43","0.02","97.42","0.00","171.63","0.01","175.22","0.02","99.14","0.01","5.267","78.627","3.554"
"2022/06/24","175.41","0.71","97.42","0.40","171.62","0.60","175.20","0.60","99.13","0.40","5.266","78.607","3.554"
"2022/06/23","174.70","-0.42","97.02","-0.24","171.02","-0.35","174.60","-0.35","98.73","-0.24","5.235","77.797","3.615"
"2022/06/22","175.12","0.84","97.26","0.46","171.37","0.70","174.95","0.71","98.97","0.48","5.248","78.135","3.557"
"2022/06/21","174.28","0.09","96.80","0.05","170.67","0.07","174.24","0.07","98.49","0.05","5.209","77.087","3.635"
"2022/06/20","174.19","0.12","96.75","0.06","170.60","0.10","174.17","0.11","98.44","0.06","5.200","76.824","3.635"
"2022/06/19","174.07","0.01","96.69","0.00","170.50","0.02","174.06","0.01","98.38","0.01","5.210","77.171","3.663"
"2022/06/18","174.06","0.02","96.69","0.01","170.48","0.01","174.05","0.02","98.37","0.01","5.210","77.148","3.662"
"2022/06/17","174.04","-0.20","96.68","-0.12","170.47","-0.16","174.03","-0.17","98.36","-0.11","5.212","77.173","3.661"
"2022/06/16","174.24","-0.43","96.80","-0.25","170.63","-0.37","174.20","-0.37","98.47","-0.25","5.216","77.292","3.634"
"2022/06/15","174.67","-0.79","97.05","-0.45","171.00","-0.65","174.57","-0.66","98.72","-0.45","5.240","78.000","3.568"
"2022/06/14","175.46","-0.21","97.50","-0.13","171.65","-0.18","175.23","-0.17","99.17","-0.12","5.273","78.858","3.459"
"2022/06/13","175.67","-1.61","97.63","-0.91","171.83","-1.34","175.40","-1.36","99.29","-0.92","5.285","79.211","3.427"
"2022/06/12","177.28","0.02","98.54","0.00","173.17","0.01","176.76","0.01","100.21","0.01","5.355","81.110","3.250"
"2022/06/11","177.26","0.02","98.54","0.00","173.16","0.01","176.75","0.02","100.20","0.00","5.355","81.098","3.249"
"2022/06/10","177.24","-0.55","98.54","-0.31","173.15","-0.45","176.73","-0.46","100.20","-0.52","5.364","81.428","3.249"
"2022/06/09","177.79","-0.02","98.85","-0.02","173.60","-0.01","177.19","-0.02","100.72","-0.02","5.382","82.206","3.200"
"2022/06/08","177.81","0.61","98.87","0.34","173.61","0.50","177.21","0.52","100.74","0.34","5.374","82.285","3.205"
"2022/06/07","177.20","-0.93","98.53","-0.53","173.11","-0.78","176.69","-0.79","100.40","-0.53","5.336","81.211","3.248"
"2022/06/06","178.13","0.01","99.06","0.00","173.89","0.01","177.48","0.01","100.93","0.00","5.382","82.358","3.156"
"2022/06/05","178.12","0.02","99.06","0.00","173.88","0.02","177.47","0.02","100.93","0.01","5.384","82.378","3.156"
"2022/06/04","178.10","0.01","99.06","0.00","173.86","0.01","177.45","0.01","100.92","0.01","5.385","82.387","3.156"
"2022/06/03","178.09","0.20","99.06","0.11","173.85","0.17","177.44","0.17","100.91","0.10","5.387","82.402","3.156"
"2022/06/02","177.89","-0.68","98.95","-0.39","173.68","-0.57","177.27","-0.57","100.81","-0.39","5.380","82.168","3.158"
"2022/06/01","178.57","0.02","99.34","0.00","174.25","0.01","177.84","0.01","101.20","0.01","5.414","82.992","3.091"
"2022/05/31","178.55","-0.82","99.34","-0.47","174.24","-0.69","177.83","-0.69","101.19","-0.47","5.419","83.130","3.091"
"2022/05/30","179.37","0.15","99.81","0.08","174.93","0.13","178.52","0.13","101.66","0.07","5.462","84.278","3.018"
"2022/05/29","179.22","0.01","99.73","0.00","174.80","0.01","178.39","0.01","101.59","0.01","5.420","83.006","3.021"
"2022/05/28","179.21","0.02","99.73","0.00","174.79","0.01","178.38","0.01","101.58","0.01","5.420","83.001","3.021"
"2022/05/27","179.19","0.19","99.73","0.11","174.78","0.16","178.37","0.17","101.57","0.10","5.423","83.052","3.020"
"2022/05/26","179.00","-0.41","99.62","-0.24","174.62","-0.34","178.20","-0.35","101.47","-0.23","5.408","82.562","3.029"
"2022/05/25","179.41","0.28","99.86","0.15","174.96","0.24","178.55","0.24","101.70","0.15","5.437","83.404","2.993"
"2022/05/24","179.13","0.44","99.71","0.24","174.72","0.36","178.31","0.37","101.55","0.25","5.417","82.806","3.005"
"2022/05/23","178.69","-0.15","99.47","-0.09","174.36","-0.12","177.94","-0.13","101.30","-0.10","5.398","82.328","3.042"
"2022/05/22","178.84","0.01","99.56","0.00","174.48","0.01","178.07","0.02","101.40","0.01","5.406","82.620","3.025"
"2022/05/21","178.83","0.01","99.56","0.01","174.47","0.01","178.05","0.01","101.39","0.01","5.407","82.626","3.025"
"2022/05/20","178.82","0.39","99.55","0.21","174.46","0.32","178.04","0.33","101.38","0.22","5.409","82.630","3.024"
"2022/05/19","178.43","0.02","99.34","0.00","174.14","0.02","177.71","0.01","101.16","0.00","5.394","82.206","3.052"
"2022/05/18","178.41","-0.29","99.34","-0.17","174.12","-0.24","177.70","-0.24","101.16","-0.16","5.391","82.164","3.052"
"2022/05/17","178.70","-0.01","99.51","-0.01","174.36","-0.01","177.94","0.00","101.32","-0.01","5.413","82.700","3.027"
"2022/05/16","178.71","-0.37","99.52","-0.21","174.37","-0.31","177.94","-0.32","101.33","-0.21","5.414","82.683","3.023"
"2022/05/15","179.08","0.02","99.73","0.00","174.68","0.01","178.26","0.02","101.54","0.00","5.418","82.798","2.962"
"2022/05/14","179.06","0.01","99.73","0.00","174.67","0.02","178.24","0.01","101.54","0.01","5.420","82.827","2.962"
"2022/05/13","179.05","-0.28","99.73","-0.16","174.65","-0.24","178.23","-0.23","101.53","-0.16","5.424","82.884","2.961"
"2022/05/12","179.33","0.73","99.89","0.40","174.89","0.61","178.46","0.61","101.69","0.41","5.441","83.190","2.938"
"2022/05/11","178.60","1.20","99.49","0.68","174.28","1.01","177.85","1.02","101.28","0.68","5.388","81.695","2.977"
"2022/05/10","177.40","0.11","98.81","0.05","173.27","0.08","176.83","0.09","100.60","0.06","5.329","80.081","3.079"
"2022/05/09","177.29","0.05","98.76","0.03","173.19","0.05","176.74","0.05","100.54","0.02","5.321","79.891","3.087"
"2022/05/08","177.24","0.02","98.73","0.00","173.14","0.01","176.69","0.01","100.52","0.01","5.336","80.322","3.117"
"2022/05/07","177.22","0.01","98.73","0.00","173.13","0.02","176.68","0.02","100.51","0.01","5.336","80.317","3.116"
"2022/05/06","177.21","0.12","98.73","0.07","173.11","0.10","176.66","0.10","100.50","0.06","5.334","80.252","3.115"
"2022/05/05","177.09","0.02","98.66","0.00","173.01","0.01","176.56","0.01","100.44","0.01","5.331","80.149","3.131"
"2022/05/04","177.07","-0.16","98.66","-0.10","173.00","-0.14","176.55","-0.13","100.43","-0.09","5.335","80.194","3.131"
"2022/05/03","177.23","-0.11","98.76","-0.07","173.14","-0.09","176.68","-0.09","100.52","-0.07","5.345","80.409","3.108"
"2022/05/02","177.34","-1.19","98.83","-0.68","173.23","-0.99","176.77","-1.01","100.59","-0.68","5.359","80.659","3.089"
"2022/05/01","178.53","0.02","99.51","0.01","174.22","0.01","177.78","0.02","101.27","0.01","5.365","81.014","2.978"
"2022/04/30","178.51","0.01","99.50","0.00","174.21","0.02","177.76","0.01","101.26","0.00","5.368","81.096","2.977"
"2022/04/29","178.50","-0.62","99.50","-0.36","174.19","-0.52","177.75","-0.52","101.26","-0.35","5.365","81.050","2.975"
"2022/04/28","179.12","0.15","99.86","0.08","174.71","0.12","178.27","0.13","101.61","0.08","5.408","82.273","2.931"
"2022/04/27","178.97","-0.12","99.78","-0.07","174.59","-0.10","178.14","-0.10","101.53","-0.08","5.393","81.817","2.923"
"2022/04/26","179.09","0.06","99.85","-1.12","174.69","0.05","178.24","0.05","101.61","0.03","5.394","81.748","2.896"
"2022/04/25","179.03","1.06","100.97","1.74","174.64","0.89","178.19","0.90","101.58","0.59","5.393","81.720","2.906"
"2022/04/24","177.97","0.02","99.23","0.00","173.75","0.01","177.29","0.01","100.99","0.01","5.338","80.267","2.997"
"2022/04/23","177.95","0.01","99.23","0.00","173.74","0.01","177.28","0.01","100.98","0.01","5.338","80.255","2.996"
"2022/04/22","177.94","-0.03","99.23","-0.02","173.73","-0.03","177.27","-0.03","100.97","-0.03","5.341","80.285","2.996"
"2022/04/21","177.97","-0.05","99.25","-0.03","173.76","-0.03","177.30","-0.03","101.00","-0.03","5.342","80.287","2.988"
"2022/04/20","178.02","0.00","99.28","-0.01","173.79","0.00","177.33","0.00","101.03","0.00","5.346","80.439","2.987"
"2022/04/19","178.02","0.44","99.29","0.25","173.79","0.37","177.33","0.37","101.03","0.25","5.353","80.641","2.992"
"2022/04/18","177.58","-0.50","99.04","-0.29","173.42","-0.42","176.96","-0.42","100.78","-0.29","5.328","79.886","3.031"
"2022/04/17","178.08","0.02","99.33","0.00","173.84","0.01","177.38","0.01","101.07","0.01","5.365","81.014","2.996"
"2022/04/16","178.06","0.01","99.33","0.00","173.83","0.01","177.37","0.02","101.06","0.00","5.365","80.997","2.995"
"2022/04/15","178.05","-0.83","99.33","-0.48","173.82","-0.69","177.35","-0.71","101.06","-0.47","5.367","81.030","2.995"
"2022/04/14","178.88","0.75","99.81","0.42","174.51","0.62","178.06","0.64","101.53","0.42","5.417","82.292","2.933"
"2022/04/13","178.13","0.29","99.39","0.16","173.89","0.25","177.42","0.25","101.11","0.16","5.398","81.825","3.026"
"2022/04/12","177.84","0.33","99.23","0.18","173.64","0.27","177.17","0.27","100.95","0.19","5.392","81.677","3.066"
"2022/04/11","177.51","-1.34","99.05","-0.77","173.37","-1.12","176.90","-1.13","100.76","-0.77","5.385","81.432","3.106"
"2022/04/10","178.85","0.01","99.82","0.01","174.49","0.01","178.03","0.01","101.53","0.01","5.444","82.996","2.953"
"2022/04/09","178.84","0.02","99.81","0.00","174.48","0.01","178.02","0.02","101.52","0.01","5.446","83.012","2.952"
"2022/04/08","178.82","-0.49","99.81","-0.28","174.47","-0.40","178.00","-0.41","101.51","-0.28","5.438","82.901","2.949"
"2022/04/07","179.31","0.00","100.09","-0.01","174.87","-0.01","178.41","-0.01","101.79","-0.01","5.444","82.991","2.874"
"2022/04/06","179.31","-0.26","100.10","-0.15","174.88","-0.21","178.42","-0.22","101.80","-0.15","5.449","83.080","2.876"
"2022/04/05","179.57","-0.34","100.25","-0.20","175.09","-0.28","178.64","-0.28","101.95","-0.19","5.457","83.242","2.835"
"2022/04/04","179.91","-0.66","100.45","-0.38","175.37","-0.56","178.92","-0.56","102.14","-0.39","5.465","83.396","2.783"
"2022/04/03","180.57","0.01","100.83","0.00","175.93","0.01","179.48","0.01","102.53","0.01","5.491","84.214","2.740"
"2022/04/02","180.56","0.01","100.83","0.00","175.92","0.01","179.47","0.01","102.52","0.01","5.491","84.201","2.740"
