일자,총수익지수_종가,총수익지수_대비,순가격지수_종가,순가격지수_대비,제로재투자지수_종가,제로재투자지수_대비,콜재투자지수_종가,콜재투자지수_대비,시장가격지수_종가,시장가격지수_대비,듀레이션,컨벡시티,YTM
"2022/06/30","174.40","0.15","104.76","0.09",,,,,,,"4.407","28.325","3.560"
"2022/06/29","174.25","-0.02","104.67","-0.02",,,,,,,"4.406","28.309","3.571"
"2022/06/28","174.27","0.44","104.69","0.26",,,,,,,"4.409","28.337","3.565"
"2022/06/27","173.83","-0.50","104.43","-0.31",,,,,,,"4.405","28.280","3.615"
"2022/06/24","174.33","0.56","104.74","0.32",,,,,,,"4.422","28.471","3.551"
"2022/06/23","173.77","-0.10","104.42","-0.07",,,,,,,"4.420","28.442","3.626"
"2022/06/22","173.87","0.85","104.49","0.50",,,,,,,"4.422","28.462","3.602"
"2022/06/21","173.02","0.13","103.99","0.07",,,,,,,"4.419","28.430","3.732"
"2022/06/20","172.89","0.02","103.92","0.00",,,,,,,"4.426","28.535","3.760"
"2022/06/17","172.87","-0.15","103.92","-0.10",,,,,,,"4.421","28.451","3.735"
"2022/06/16","173.02","3.11","104.02","1.86",,,,,,,"4.427","28.522","3.720"
"2022/06/15","169.91","-0.57","102.16","-0.35",,,,,,,"4.451","28.806","4.460"
"2022/06/14","170.48","0.08","102.51","0.04",,,,,,,"4.462","28.949","4.382"
"2022/06/13","170.40","-4.78","102.47","-2.51",,,,,,,"4.433","28.552","4.364"
"2022/06/10","175.18","-0.29","104.98","-0.58",,,,,,,"4.444","28.673","3.404"
"2022/06/09","175.47","-0.01","105.56","-0.01",,,,,,,"4.327","28.110","3.393"
"2022/06/08","175.48","0.37","105.57","0.22",,,,,,,"4.338","28.261","3.397"
"2022/06/07","175.11","-0.93","105.35","-0.57",,,,,,,"4.335","28.210","3.435"
"2022/06/03","176.04","0.10","105.92","0.04",,,,,,,"4.359","28.462","3.309"
"2022/06/02","175.94","-0.73","105.88","-0.45",,,,,,,"4.360","28.462","3.317"
"2022/05/31","176.67","-0.87","106.33","-0.54",,,,,,,"4.374","28.614","3.217"
"2022/05/30","177.54","0.09","106.87","0.05",,,,,,,"4.389","28.785","3.111"
"2022/05/27","177.45","0.17","106.82","0.09",,,,,,,"4.396","28.846","3.116"
"2022/05/26","177.28","-0.37","106.73","-0.23",,,,,,,"4.396","28.845","3.132"
"2022/05/25","177.65","0.34","106.96","0.20",,,,,,,"4.406","28.953","3.091"
"2022/05/24","177.31","0.39","106.76","0.23",,,,,,,"4.404","28.928","3.131"
"2022/05/23","176.92","-0.04","106.53","-0.03",,,,,,,"4.404","28.954","3.179"
"2022/05/20","176.96","0.43","106.56","0.24",,,,,,,"4.414","29.059","3.172"
"2022/05/19","176.53","0.13","106.32","0.08",,,,,,,"4.410","29.001","3.218"
"2022/05/18","176.40","-0.25","106.24","-0.16",,,,,,,"4.412","29.022","3.237"
"2022/05/17","176.65","0.12","106.40","0.06",,,,,,,"4.418","29.080","3.201"
"2022/05/16","176.53","-0.82","106.34","-0.50",,,,,,,"4.404","28.895","3.214"
"2022/05/13","177.35","-0.22","106.84","-0.15",,,,,,,"4.420","29.064","3.091"
"2022/05/12","177.57","0.62","106.99","0.37",,,,,,,"4.431","29.185","3.071"
"2022/05/11","176.95","1.00","106.62","0.60",,,,,,,"4.431","29.160","3.134"
"2022/05/10","175.95","0.13","106.02","0.08",,,,,,,"4.421","29.033","3.256"
"2022/05/09","175.82","0.41","105.94","0.24",,,,,,,"4.431","29.155","3.272"
"2022/05/06","175.41","0.38","105.70","0.21",,,,,,,"4.438","29.213","3.329"
"2022/05/04","175.03","-0.50","105.49","-0.31",,,,,,,"4.441","29.246","3.385"
"2022/05/03","175.53","-0.26","105.80","-0.16",,,,,,,"4.449","29.328","3.314"
"2022/05/02","175.79","-1.03","105.96","-0.64",,,,,,,"4.454","29.376","3.272"
"2022/04/29","176.82","-0.42","106.60","-0.27",,,,,,,"4.475","29.612","3.139"
"2022/04/28","177.24","-0.21","106.87","-0.13",,,,,,,"4.486","29.753","3.093"
"2022/04/27","177.45","0.12","107.00","0.07",,,,,,,"4.489","29.776","3.054"
"2022/04/26","177.33","0.17","106.93","0.09",,,,,,,"4.489","29.764","3.058"
"2022/04/25","177.16","1.09","106.84","0.66",,,,,,,"4.491","29.824","3.078"
"2022/04/22","176.07","-0.52","106.18","-0.34",,,,,,,"4.484","29.724","3.202"
"2022/04/21","176.59","0.27","106.52","0.16",,,,,,,"4.489","29.765","3.133"
"2022/04/20","176.32","0.31","106.36","0.19",,,,,,,"4.488","29.753","3.169"
"2022/04/19","176.01","-0.05","106.17","-0.04",,,,,,,"4.486","29.710","3.202"
"2022/04/18","176.06","-0.45","106.21","-0.28",,,,,,,"4.473","29.546","3.195"
"2022/04/15","176.51","-0.38","106.49","-0.24",,,,,,,"4.488","29.698","3.136"
"2022/04/14","176.89","0.59","106.73","0.35",,,,,,,"4.500","29.842","3.087"
"2022/04/13","176.30","0.54","106.38","0.32",,,,,,,"4.499","29.825","3.172"
"2022/04/12","175.76","0.12","106.06","0.07",,,,,,,"4.506","29.891","3.252"
"2022/04/11","175.64","-1.23","105.99","-0.76",,,,,,,"4.521","30.075","3.285"
"2022/04/08","176.87","-0.43","106.75","-0.27",,,,,,,"4.541","30.292","3.112"
"2022/04/07","177.30","0.21","107.02","0.12",,,,,,,"4.547","30.353","3.051"
"2022/04/06","177.09","-0.45","106.90","-0.28",,,,,,,"4.549","30.379","3.079"
"2022/04/05","177.54","-0.14","107.18","-0.09",,,,,,,"4.556","30.459","3.019"
"2022/04/04","177.68","-0.50","107.27","-0.31",,,,,,,"4.560","30.497","2.995"
"2022/04/01","178.18","-0.53","107.58","-0.34",,,,,,,"4.577","30.680","2.931"
"2022/03/31","178.71","-0.58","107.92","-0.36",,,,,,,"4.582","30.736","2.846"
"2022/03/30","179.29","0.74","108.28","0.45",,,,,,,"4.594","30.889","2.781"
"2022/03/29","178.55","0.50","107.83","0.29",,,,,,,"4.588","30.811","2.870"
"2022/03/28","178.05","-1.66","107.54","-1.01",,,,,,,"4.586","30.831","2.924"
"2022/03/25","179.71","-0.24","108.55","-0.16",,,,,,,"4.609","31.082","2.701"
"2022/03/24","179.95","-0.13","108.71","-0.09",,,,,,,"4.613","31.115","2.662"
"2022/03/23","180.08","-0.06","108.80","-0.04",,,,,,,"4.617","31.159","2.643"
"2022/03/22","180.14","-0.85","108.84","-0.52",,,,,,,"4.619","31.174","2.628"
"2022/03/21","180.99","-0.18","109.36","-0.12",,,,,,,"4.601","30.928","2.514"
"2022/03/18","181.17","-0.18","109.48","-0.12",,,,,,,"4.611","31.025","2.483"
"2022/03/17","181.35","0.52","109.60","0.31",,,,,,,"4.621","31.139","2.464"
"2022/03/16","180.83","0.01","109.29","0.00",,,,,,,"4.618","31.097","2.522"
"2022/03/15","180.82","-0.12","109.29","-0.08",,,,,,,"4.629","31.209","2.528"
"2022/03/14","180.94","-0.24","109.37","-0.15",,,,,,,"4.650","31.442","2.519"
"2022/03/11","181.18","-0.12","109.52","0.06",,,,,,,"4.661","31.560","2.487"
"2022/03/10","181.30","-0.08","109.46","-0.20",,,,,,,"4.662","31.553","2.466"
"2022/03/08","181.38","-0.06","109.66","-0.05",,,,,,,"4.482","29.657","2.480"
"2022/03/07","181.44","-0.43","109.71","-0.27",,,,,,,"4.487","29.715","2.476"
"2022/03/04","181.87","-0.16","109.98","-0.11",,,,,,,"4.499","29.838","2.413"
"2022/03/03","182.03","-0.21","110.09","-0.14",,,,,,,"4.504","29.891","2.388"
"2022/03/02","182.24","0.52","110.23","0.31",,,,,,,"4.510","29.968","2.368"
"2022/02/28","181.72","0.04","109.92","0.02",,,,,,,"4.512","29.989","2.427"
"2022/02/25","181.68","-0.31","109.90","-0.21",,,,,,,"4.520","30.066","2.427"
"2022/02/24","181.99","0.80","110.11","0.48",,,,,,,"4.518","30.025","2.393"
"2022/02/23","181.19","0.01","109.63","0.01",,,,,,,"4.511","29.934","2.489"
"2022/02/22","181.18","0.41","109.62","0.24",,,,,,,"4.514","29.971","2.493"
"2022/02/21","180.77","-0.31","109.38","-0.19",,,,,,,"4.483","29.557","2.536"
"2022/02/18","181.08","-0.21","109.57","-0.15",,,,,,,"4.495","29.678","2.490"
"2022/02/17","181.29","0.08","109.72","0.05",,,,,,,"4.506","29.796","2.463"
"2022/02/16","181.21","0.12","109.67","0.07",,,,,,,"4.510","29.839","2.480"
"2022/02/15","181.09","0.04","109.60","0.02",,,,,,,"4.517","29.916","2.495"
"2022/02/14","181.05","0.27","109.58","0.15",,,,,,,"4.534","30.103","2.501"
"2022/02/11","180.78","-0.59","109.43","-0.37",,,,,,,"4.538","30.127","2.522"
"2022/02/10","181.37","0.11","109.80","0.06",,,,,,,"4.546","30.223","2.445"
"2022/02/09","181.26","0.38","109.74","0.23",,,,,,,"4.549","30.246","2.459"
"2022/02/08","180.88","-0.76","109.51","-0.47",,,,,,,"4.547","30.210","2.500"
"2022/02/07","181.64","-0.20","109.98","-0.13",,,,,,,"4.560","30.366","2.413"
"2022/02/04","181.84","-0.37","110.11","-0.24",,,,,,,"4.569","30.452","2.378"
"2022/02/03","182.21","0.25","110.35","0.15",,,,,,,"4.577","30.551","2.337"
"2022/01/28","181.96","0.27","110.20","0.13",,,,,,,"4.593","30.701","2.359"
"2022/01/27","181.69","-0.41","110.07","-0.25",,,,,,,"4.593","30.696","2.390"
"2022/01/26","182.10","0.10","110.32","0.05",,,,,,,"4.599","30.765","2.335"
"2022/01/25","182.00","-0.42","110.27","-0.26",,,,,,,"4.603","30.807","2.351"
"2022/01/24","182.42","0.13","110.53","0.08",,,,,,,"4.611","30.922","2.293"
"2022/01/21","182.29","0.03","110.45","0.00",,,,,,,"4.619","31.003","2.309"
"2022/01/20","182.26","-0.28","110.45","-0.17",,,,,,,"4.618","30.977","2.305"
"2022/01/19","182.54","0.32","110.62","0.18",,,,,,,"4.622","31.013","2.265"
"2022/01/18","182.22","0.13","110.44","0.08",,,,,,,"4.622","31.018","2.307"
"2022/01/17","182.09","-0.92","110.36","-0.57",,,,,,,"4.597","30.683","2.322"
"2022/01/14","183.01","-0.59","110.93","-0.37",,,,,,,"4.617","30.904","2.211"
"2022/01/13","183.60","0.35","111.30","0.20",,,,,,,"4.627","31.016","2.133"
"2022/01/12","183.25","0.46","111.10","0.28",,,,,,,"4.627","31.015","2.174"
"2022/01/11","182.79","0.03","110.82","0.01",,,,,,,"4.629","31.026","2.225"
"2022/01/10","182.76","-0.18","110.81","-0.11",,,,,,,"4.648","31.233","2.235"
"2022/01/07","182.94","1.77","110.92","1.06",,,,,,,"4.658","31.343","2.206"
"2022/01/06","181.17","-0.94","109.86","-0.58",,,,,,,"4.674","31.527","2.598"
"2022/01/05","182.11","-0.48","110.44","-0.30",,,,,,,"4.687","31.685","2.486"
"2022/01/04","182.59","0.06","110.74","0.03",,,,,,,"4.696","31.793","2.432"
"2022/01/03","182.53","-0.56","110.71","-0.34",,,,,,,"4.697","31.794","2.432"
"2021/12/30","183.09","-0.44","111.05","-0.29",,,,,,,"4.711","31.955","2.365"
"2021/12/29","183.53","0.17","111.34","0.10",,,,,,,"4.722","32.094","2.326"
"2021/12/28","183.36","-0.02","111.24","-0.02",,,,,,,"4.722","32.086","2.340"
"2021/12/27","183.38","0.15","111.26","0.09",,,,,,,"4.724","32.097","2.331"
"2021/12/24","183.23","0.10","111.17","0.04",,,,,,,"4.732","32.187","2.350"
"2021/12/23","183.13","-0.60","111.13","-0.36",,,,,,,"4.734","32.199","2.359"
"2021/12/22","183.73","-0.31","111.49","-0.20",,,,,,,"4.745","32.330","2.295"
"2021/12/21","184.04","0.06","111.69","0.03",,,,,,,"4.751","32.398","2.257"
"2021/12/20","183.98","0.37","111.66","0.22",,,,,,,"4.755","32.468","2.268"
"2021/12/17","183.61","0.00","111.44","-0.02",,,,,,,"4.759","32.490","2.303"
"2021/12/16","183.61","0.27","111.46","0.17",,,,,,,"4.761","32.517","2.301"
"2021/12/15","183.34","-0.06","111.29","-0.05",,,,,,,"4.763","32.538","2.338"
