"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 06월 30일","22,800","23,450","23,850","22,650","55.99K","-4.60%"
"2022년 06월 29일","23,900","25,000","25,200","23,800","0.05K","-2.25%"
"2022년 06월 28일","24,450","24,100","25,250","24,100","0.44K","2.95%"
"2022년 06월 27일","23,750","22,000","24,700","22,000","195.47K","7.95%"
"2022년 06월 24일","22,000","21,100","22,700","20,700","274.87K","6.28%"
"2022년 06월 23일","20,700","22,150","22,250","20,500","0.08K","-8.81%"
"2022년 06월 22일","22,700","26,000","26,300","22,700","161.91K","-12.36%"
"2022년 06월 21일","25,900","26,200","26,300","25,500","0.94K","-1.15%"
"2022년 06월 20일","26,200","26,700","28,300","25,450","0.01K","-4.90%"
"2022년 06월 19일","27,550","27,550","27,550","27,550","-","0.00%"
"2022년 06월 17일","27,550","26,200","30,400","26,200","562.58K","2.42%"
"2022년 06월 16일","26,900","27,900","28,450","26,900","0.51K","-3.93%"
"2022년 06월 15일","28,000","30,100","30,100","27,900","0.61K","-8.79%"
"2022년 06월 14일","30,700","31,950","33,000","30,400","1.22K","-1.76%"
"2022년 06월 13일","31,250","31,300","33,050","31,050","1.93K","1.63%"
"2022년 06월 12일","30,750","30,750","30,750","30,750","-","0.00%"
"2022년 06월 10일","30,750","31,500","31,600","30,550","108.36K","-2.69%"
"2022년 06월 09일","31,600","32,900","34,050","31,600","0.33K","1.77%"
"2022년 06월 08일","31,050","32,300","32,350","30,900","0.01K","-0.96%"
"2022년 06월 07일","31,350","31,100","32,400","30,850","456.07K","3.47%"
"2022년 06월 06일","30,300","30,300","30,300","30,300","-","0.00%"
"2022년 06월 03일","30,300","30,050","30,800","29,050","294.38K","1.00%"
"2022년 06월 02일","30,000","30,050","30,700","30,000","0.41K","-5.51%"
"2022년 06월 01일","31,750","31,750","31,750","31,750","-","0.00%"
"2022년 05월 31일","31,750","30,500","33,450","29,550","1.06M","7.63%"
"2022년 05월 30일","29,500","29,450","29,850","29,150","61.83K","0.17%"
"2022년 05월 27일","29,450","30,050","30,300","28,750","182.68K","0.17%"
"2022년 05월 26일","29,400","27,950","29,400","27,950","2.92K","5.57%"
"2022년 05월 25일","27,850","28,450","28,700","27,700","0.02K","-2.11%"
"2022년 05월 24일","28,450","29,450","29,700","28,350","0.05K","-2.40%"
"2022년 05월 23일","29,150","29,600","29,650","29,050","48.76K","-1.35%"
"2022년 05월 22일","29,550","29,550","29,550","29,550","-","0.00%"
"2022년 05월 20일","29,550","30,000","30,100","29,250","64.01K","0.34%"
"2022년 05월 19일","29,450","29,750","30,500","29,300","0.56K","-4.07%"
