"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 06월 30일","8,590","9,010","9,030","8,530","6.70K","-4.02%"
"2022년 06월 29일","8,950","9,120","9,310","8,920","1.12K","0.45%"
"2022년 06월 28일","8,910","9,300","9,420","8,770","1.80K","-4.09%"
"2022년 06월 27일","9,290","9,080","9,360","8,980","8.78K","1.42%"
"2022년 06월 26일","9,160","9,160","9,160","9,160","-","0.00%"
"2022년 06월 24일","9,160","9,500","9,720","8,720","6.29M","-3.68%"
"2022년 06월 23일","9,510","10,500","11,000","9,510","10.02K","-8.56%"
"2022년 06월 22일","10,400","9,560","11,250","9,380","21.59K","7.22%"
"2022년 06월 21일","9,700","10,150","10,200","9,410","13.38K","-1.72%"
"2022년 06월 20일","9,870","9,500","10,350","9,500","0.38K","5.34%"
"2022년 06월 19일","9,370","9,370","9,370","9,370","-","0.00%"
"2022년 06월 17일","9,370","10,350","10,950","9,060","18.41M","-1.06%"
"2022년 06월 16일","9,470","9,330","9,740","9,160","0.52K","4.30%"
"2022년 06월 15일","9,080","8,610","10,450","8,610","43.40K","3.18%"
"2022년 06월 14일","8,800","10,150","10,150","8,530","2.44K","-16.19%"
"2022년 06월 13일","10,500","8,600","10,500","8,350","34.19K","27.43%"
"2022년 06월 12일","8,240","8,240","8,240","8,240","-","0.00%"
"2022년 06월 10일","8,240","7,980","8,740","7,930","7.41M","3.00%"
"2022년 06월 09일","8,000","8,540","8,540","7,840","0.94K","-6.76%"
"2022년 06월 08일","8,580","8,860","8,860","8,410","0.98K","-4.03%"
"2022년 06월 07일","8,940","9,150","9,390","8,940","1.16K","0.79%"
"2022년 06월 06일","8,870","8,870","8,870","8,870","-","0.00%"
"2022년 06월 03일","8,870","9,010","9,450","8,750","5.44M","-3.90%"
"2022년 06월 02일","9,230","8,830","9,690","8,740","0.73K","2.10%"
"2022년 06월 01일","9,040","9,040","9,040","9,040","-","0.00%"
"2022년 05월 31일","9,040","9,550","9,580","8,860","8.39M","-3.62%"
"2022년 05월 30일","9,380","9,960","10,050","9,380","18.31M","-3.20%"
"2022년 05월 29일","9,690","9,690","9,690","9,690","-","0.00%"
"2022년 05월 27일","9,690","7,860","10,000","7,700","57.82M","25.36%"
"2022년 05월 26일","7,730","7,930","8,150","7,670","2.65M","-3.38%"
"2022년 05월 25일","8,000","7,800","8,000","7,510","70.59K","3.76%"
"2022년 05월 24일","7,710","8,070","8,070","7,650","1.11K","-3.63%"
"2022년 05월 23일","8,000","7,900","8,230","7,760","5.53K","1.91%"
"2022년 05월 22일","7,850","7,850","7,850","7,850","-","0.00%"
"2022년 05월 20일","7,850","7,720","8,480","7,460","9.06M","3.02%"
"2022년 05월 19일","7,620","7,900","7,900","7,560","0.27K","-3.91%"
"2022년 05월 18일","7,930","7,800","8,090","7,630","5.08K","-0.25%"
"2022년 05월 17일","7,950","8,880","8,880","7,820","7.50K","-6.03%"
"2022년 05월 16일","8,460","7,980","8,760","7,980","0.03K","10.73%"
"2022년 05월 15일","7,640","7,640","7,640","7,640","-","0.00%"
"2022년 05월 13일","7,640","7,850","8,190","7,330","6.79M","-4.62%"
"2022년 05월 12일","8,010","9,200","9,370","7,790","2.24K","-12.07%"
"2022년 05월 11일","9,110","9,760","10,550","8,880","2.71K","-1.62%"
"2022년 05월 10일","9,260","8,040","9,650","7,930","45.26M","18.11%"
"2022년 05월 09일","7,840","7,680","7,930","7,400","5.40M","1.69%"
"2022년 05월 08일","7,710","7,710","7,710","7,710","-","0.00%"
"2022년 05월 06일","7,710","7,960","8,440","7,440","5.64M","-6.09%"
"2022년 05월 05일","8,210","8,210","8,210","8,210","-","0.00%"
"2022년 05월 04일","8,210","9,080","9,080","7,990","7.83M","-9.48%"
"2022년 05월 03일","9,070","9,880","9,880","8,970","11.65K","-2.79%"
"2022년 05월 02일","9,330","9,450","10,250","9,170","0.81K","1.63%"
"2022년 05월 01일","9,180","9,180","9,180","9,180","-","0.00%"
"2022년 04월 29일","9,180","9,370","9,900","8,880","11.22M","-4.97%"
"2022년 04월 28일","9,660","10,600","10,600","9,080","2.68K","-10.97%"
"2022년 04월 27일","10,850","13,550","14,900","10,450","5.47K","-18.73%"
"2022년 04월 25일","13,350","14,600","15,850","11,600","49.48M","0.38%"
"2022년 04월 24일","13,300","13,300","13,300","13,300","-","0.00%"
"2022년 04월 22일","13,300","11,750","13,300","11,350","31.99M","29.76%"
"2022년 04월 21일","10,250","8,850","10,250","8,850","0.56K","29.75%"
"2022년 04월 19일","7,900","6,900","7,900","6,870","49.79M","29.93%"
"2022년 04월 18일","6,080","5,260","6,080","5,260","0.06K","29.91%"
"2022년 04월 17일","4,680","4,680","4,680","4,680","-","0.00%"
"2022년 04월 15일","4,680","3,755","4,680","3,750","63.96M","30.00%"
"2022년 04월 14일","3,600","2,975","3,765","2,970","0.15K","21.83%"
"2022년 04월 13일","2,955","2,965","3,030","2,885","1.57M","-0.34%"
"2022년 04월 12일","2,965","3,010","3,015","2,875","0.91K","-3.42%"
"2022년 04월 11일","3,070","2,970","3,070","2,950","12.42K","2.16%"
"2022년 04월 10일","3,005","3,005","3,005","3,005","-","0.00%"
"2022년 04월 08일","3,005","3,135","3,165","2,920","2.89M","-2.91%"
"2022년 04월 07일","3,095","3,330","3,330","3,060","2.60M","-6.64%"
"2022년 04월 06일","3,315","3,300","3,340","3,245","3.42M","1.84%"
"2022년 04월 05일","3,255","3,390","3,390","3,160","0.60K","-1.81%"
"2022년 04월 04일","3,315","3,475","3,625","3,170","5.09M","-3.91%"
"2022년 04월 03일","3,450","3,450","3,450","3,450","-","0.00%"
"2022년 04월 01일","3,450","3,875","3,930","3,450","8.85M","-11.54%"
"2022년 03월 31일","3,900","3,760","4,255","3,740","2.60K","5.98%"
"2022년 03월 30일","3,680","3,540","3,790","3,455","0.10K","-2.90%"
"2022년 03월 29일","3,790","3,985","4,310","3,355","4.76K","-7.79%"
"2022년 03월 28일","4,110","4,295","4,295","3,925","54.24K","6.06%"
"2022년 03월 27일","3,875","3,875","3,875","3,875","-","0.00%"
"2022년 03월 25일","3,875","4,400","4,450","3,810","13.67M","-3.73%"
"2022년 03월 24일","4,025","4,200","4,740","3,830","28.21M","0.75%"
"2022년 03월 23일","3,995","4,260","4,655","3,945","2.54K","10.06%"
"2022년 03월 22일","3,630","3,270","3,630","3,270","0.01K","29.87%"
"2022년 03월 21일","2,795","2,300","2,795","2,230","0.35K","30.00%"
"2022년 03월 20일","2,150","2,150","2,150","2,150","-","0.00%"
"2022년 03월 18일","2,150","2,130","2,160","2,115","1.02M","1.42%"
"2022년 03월 17일","2,120","2,140","2,140","2,085","0.02K","-1.85%"
"2022년 03월 16일","2,160","2,185","2,185","2,125","0.45K","-0.69%"
"2022년 03월 15일","2,175","2,210","2,240","2,160","0.14K","0.00%"
"2022년 03월 14일","2,175","2,180","2,260","2,170","0.41K","1.16%"
"2022년 03월 13일","2,150","2,150","2,150","2,150","-","0.00%"
"2022년 03월 11일","2,150","2,220","2,250","2,145","1.72M","-2.93%"
"2022년 03월 10일","2,215","2,200","2,275","2,115","0.13K","-2.64%"
"2022년 03월 09일","2,275","2,275","2,275","2,275","-","0.00%"
"2022년 03월 08일","2,275","2,460","2,495","2,235","3.83M","-5.80%"
"2022년 03월 07일","2,415","2,380","2,535","2,375","31.24K","3.65%"
"2022년 03월 06일","2,330","2,330","2,330","2,330","-","0.00%"
"2022년 03월 04일","2,330","2,415","2,470","2,305","6.48M","-1.69%"
"2022년 03월 03일","2,370","2,370","2,410","2,315","3.55M","-1.25%"
"2022년 03월 02일","2,400","2,305","2,485","2,305","53.69K","8.35%"
"2022년 03월 01일","2,215","2,215","2,215","2,215","-","0.00%"
"2022년 02월 28일","2,215","2,385","2,430","2,210","5.22M","-4.11%"
"2022년 02월 27일","2,310","2,310","2,310","2,310","-","0.00%"
"2022년 02월 25일","2,310","2,350","2,580","2,255","12.65M","-9.59%"
"2022년 02월 24일","2,555","2,395","2,675","2,395","67.07K","11.57%"
"2022년 02월 23일","2,290","2,500","2,590","2,240","85.97K","8.53%"
"2022년 02월 22일","2,110","2,140","2,215","2,085","3.76M","0.48%"
"2022년 02월 21일","2,100","2,125","2,155","2,090","0.70K","0.00%"
"2022년 02월 20일","2,100","2,100","2,100","2,100","-","0.00%"
"2022년 02월 18일","2,100","2,105","2,130","2,065","655.08K","0.24%"
"2022년 02월 17일","2,095","2,030","2,115","2,025","1.55K","3.20%"
"2022년 02월 16일","2,030","1,995","2,035","1,935","1.39K","0.74%"
"2022년 02월 15일","2,015","2,140","2,180","2,010","1.29K","-2.89%"
"2022년 02월 14일","2,075","2,155","2,180","2,075","0.15K","-1.89%"
"2022년 02월 11일","2,115","2,080","2,210","2,055","7.07M","1.68%"
"2022년 02월 10일","2,080","2,100","2,120","2,060","1.20K","-1.42%"
"2022년 02월 09일","2,110","2,090","2,120","2,070","303.89K","1.93%"
"2022년 02월 08일","2,070","2,090","2,120","2,055","416.91K","-0.72%"
"2022년 02월 07일","2,085","2,080","2,110","2,055","402.43K","0.48%"
"2022년 02월 04일","2,075","1,970","2,110","1,965","1.21M","5.33%"
"2022년 02월 03일","1,970","1,915","1,990","1,915","0.38K","3.96%"
"2022년 01월 28일","1,895","1,830","1,910","1,825","475.36K","3.84%"
"2022년 01월 27일","1,825","1,910","1,930","1,815","811.65K","-4.45%"
"2022년 01월 26일","1,910","1,935","1,975","1,910","625.22K","0.00%"
"2022년 01월 25일","1,910","2,150","2,155","1,905","2.44M","-9.05%"
"2022년 01월 24일","2,100","2,030","2,290","2,030","14.36M","2.44%"
"2022년 01월 23일","2,050","2,050","2,050","2,050","-","0.00%"
"2022년 01월 21일","2,050","2,060","2,060","2,015","241.63K","-0.24%"
"2022년 01월 20일","2,055","2,000","2,100","1,995","774.40K","2.75%"
"2022년 01월 19일","2,000","1,945","2,045","1,945","0.30K","1.01%"
"2022년 01월 18일","1,980","2,000","2,045","1,965","145.63K","-1.00%"
"2022년 01월 17일","2,000","2,040","2,055","2,000","0.01K","-1.72%"
"2022년 01월 14일","2,035","2,025","2,065","2,015","209.16K","-0.25%"
"2022년 01월 13일","2,040","2,050","2,060","2,025","0.00K","0.74%"
"2022년 01월 12일","2,025","2,020","2,050","2,000","423.86K","1.25%"
"2022년 01월 11일","2,000","1,960","2,150","1,955","1.67M","1.27%"
"2022년 01월 10일","1,975","1,965","1,995","1,935","261.65K","1.02%"
"2022년 01월 09일","1,955","1,955","1,955","1,955","-","0.00%"
"2022년 01월 07일","1,955","1,925","1,965","1,925","124.23K","1.30%"
"2022년 01월 06일","1,930","1,920","1,965","1,910","159.95K","-0.26%"
"2022년 01월 05일","1,935","1,965","1,975","1,930","138.98K","-1.53%"
"2022년 01월 04일","1,965","1,965","1,965","1,950","155.87K","0.77%"
"2022년 01월 03일","1,950","1,945","1,960","1,935","114.76K","0.52%"
"2021년 12월 30일","1,940","1,960","1,960","1,920","111.15K","0.00%"
"2021년 12월 29일","1,940","1,920","1,940","1,915","127.77K","1.04%"
"2021년 12월 28일","1,920","1,920","1,925","1,910","81.38K","0.00%"
"2021년 12월 27일","1,920","1,940","1,940","1,910","96.98K","-0.52%"
"2021년 12월 24일","1,930","1,920","1,945","1,905","112.41K","1.05%"
"2021년 12월 23일","1,910","1,905","1,920","1,895","0.93K","0.79%"
"2021년 12월 22일","1,895","1,900","1,930","1,895","99.48K","0.00%"
"2021년 12월 21일","1,895","1,870","1,900","1,865","116.59K","0.80%"
