"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 06월 30일","6,260","6,450","6,450","6,220","0.01K","-3.69%"
"2022년 06월 29일","6,500","6,570","6,630","6,470","145.58K","-0.31%"
"2022년 06월 28일","6,520","6,340","6,580","6,330","169.24K","2.84%"
"2022년 06월 27일","6,340","6,080","6,410","5,980","202.54K","5.32%"
"2022년 06월 26일","6,020","6,020","6,020","6,020","-","0.00%"
"2022년 06월 24일","6,020","5,750","6,120","5,710","364.63K","4.70%"
"2022년 06월 23일","5,750","6,100","6,200","5,750","0.31K","-6.81%"
"2022년 06월 22일","6,170","6,510","6,700","6,150","292.42K","-6.52%"
"2022년 06월 21일","6,600","6,620","6,710","6,530","2.32K","-1.79%"
"2022년 06월 20일","6,720","6,800","6,980","6,530","352.43K","-4.00%"
"2022년 06월 19일","7,000","7,000","7,000","7,000","-","0.00%"
"2022년 06월 17일","7,000","6,810","7,490","6,770","810.82K","1.16%"
"2022년 06월 16일","6,920","7,100","7,200","6,900","0.02K","-2.67%"
"2022년 06월 15일","7,110","7,500","7,600","7,030","0.28K","-6.94%"
"2022년 06월 14일","7,640","7,850","8,000","7,640","0.04K","-2.05%"
"2022년 06월 13일","7,800","7,830","8,140","7,800","0.21K","-1.27%"
"2022년 06월 12일","7,900","7,900","7,900","7,900","-","0.00%"
"2022년 06월 10일","7,900","8,000","8,090","7,850","450.05K","-2.95%"
"2022년 06월 09일","8,140","8,370","8,620","8,130","2.72K","0.12%"
"2022년 06월 08일","8,130","8,450","8,920","8,130","2.52M","-0.37%"
"2022년 06월 07일","8,160","7,940","8,170","7,920","1.09M","3.55%"
"2022년 06월 06일","7,880","7,880","7,880","7,880","-","0.00%"
"2022년 06월 03일","7,880","7,900","8,070","7,770","254.12K","0.13%"
"2022년 06월 02일","7,870","7,950","7,960","7,850","0.32K","-2.48%"
"2022년 06월 01일","8,070","8,070","8,070","8,070","-","0.00%"
"2022년 05월 31일","8,070","8,000","8,150","7,880","653.85K","2.41%"
"2022년 05월 30일","7,880","7,830","7,960","7,790","183.76K","1.29%"
"2022년 05월 29일","7,780","7,780","7,780","7,780","-","0.00%"
"2022년 05월 27일","7,780","7,890","8,000","7,710","345.82K","0.52%"
"2022년 05월 26일","7,740","7,580","7,740","7,550","0.06K","2.25%"
"2022년 05월 25일","7,570","7,630","7,680","7,550","182.77K","-1.30%"
"2022년 05월 24일","7,670","7,800","7,830","7,660","0.00K","-1.41%"
"2022년 05월 23일","7,780","7,840","7,840","7,760","0.22K","-0.77%"
"2022년 05월 20일","7,840","7,820","7,860","7,790","150.77K","0.51%"
"2022년 05월 19일","7,800","7,820","7,910","7,770","0.00K","-2.62%"
"2022년 05월 18일","8,010","8,070","8,120","7,940","3.43K","-0.12%"
"2022년 05월 17일","8,020","8,330","8,330","8,000","0.30K","0.88%"
"2022년 05월 16일","7,950","7,810","7,970","7,810","0.04K","2.32%"
"2022년 05월 15일","7,770","7,770","7,770","7,770","-","0.00%"
"2022년 05월 13일","7,770","7,770","7,860","7,720","213.11K","0.26%"
"2022년 05월 12일","7,750","8,150","8,220","7,730","1.06K","-2.76%"
"2022년 05월 11일","7,970","7,920","8,000","7,770","0.50K","0.76%"
"2022년 05월 10일","7,910","7,940","8,040","7,700","842.90K","-5.72%"
"2022년 05월 09일","8,390","8,240","8,790","8,160","2.73M","2.07%"
"2022년 05월 08일","8,220","8,220","8,220","8,220","-","0.00%"
"2022년 05월 06일","8,220","8,540","8,870","8,200","1.39M","-1.67%"
"2022년 05월 05일","8,360","8,360","8,360","8,360","-","0.00%"
"2022년 05월 04일","8,360","8,660","8,680","8,300","658.88K","-4.78%"
"2022년 05월 03일","8,780","8,640","8,830","8,460","1.09M","0.80%"
"2022년 05월 02일","8,710","8,760","9,030","8,700","1.78M","0.58%"
"2022년 05월 01일","8,660","8,660","8,660","8,660","-","0.00%"
"2022년 04월 29일","8,660","8,310","9,640","8,220","11.89M","5.48%"
"2022년 04월 28일","8,210","8,750","8,790","8,180","2.96M","-8.78%"
"2022년 04월 27일","9,000","8,080","9,560","7,980","5.46K","14.94%"
"2022년 04월 26일","7,830","7,820","7,890","7,820","0.39K","-0.25%"
"2022년 04월 25일","7,850","7,940","8,100","7,800","0.06K","-2.85%"
"2022년 04월 22일","8,080","7,960","8,160","7,950","424.42K","1.64%"
"2022년 04월 21일","7,950","7,930","7,980","7,900","0.07K","0.00%"
"2022년 04월 20일","7,950","7,990","8,000","7,930","0.25K","-1.85%"
"2022년 04월 19일","8,100","8,160","8,160","8,080","0.50K","0.00%"
