"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 06월 30일","4,255","4,410","4,410","4,255","301.13K","-3.51%"
"2022년 06월 29일","4,410","4,185","4,460","4,185","0.03K","2.32%"
"2022년 06월 28일","4,310","4,170","4,335","4,170","0.25K","2.50%"
"2022년 06월 27일","4,205","4,050","4,230","4,020","241.26K","4.60%"
"2022년 06월 24일","4,020","3,760","4,040","3,760","392.34K","4.82%"
"2022년 06월 23일","3,835","4,020","4,120","3,815","0.14K","-5.19%"
"2022년 06월 22일","4,045","4,275","4,425","4,015","0.05K","-5.60%"
"2022년 06월 21일","4,285","4,260","4,350","4,240","160.30K","0.00%"
"2022년 06월 20일","4,285","4,610","4,620","4,245","370.87K","-6.34%"
"2022년 06월 17일","4,575","4,370","4,740","4,355","305.85K","1.33%"
"2022년 06월 16일","4,515","4,520","4,765","4,515","0.05K","1.12%"
"2022년 06월 15일","4,465","4,645","4,730","4,420","0.61K","-4.59%"
"2022년 06월 14일","4,680","4,655","4,730","4,550","0.10K","-1.68%"
"2022년 06월 13일","4,760","4,840","4,895","4,760","0.00K","-4.99%"
"2022년 06월 12일","5,010","5,010","5,010","5,010","-","0.00%"
"2022년 06월 10일","5,010","5,130","5,180","4,995","260.10K","-3.28%"
"2022년 06월 09일","5,180","5,340","5,340","5,060","0.01K","-2.63%"
"2022년 06월 08일","5,320","5,330","5,440","5,320","0.00K","-0.93%"
"2022년 06월 07일","5,370","5,490","5,540","5,360","196.37K","-3.24%"
"2022년 06월 06일","5,550","5,550","5,550","5,550","-","0.00%"
"2022년 06월 03일","5,550","5,630","5,670","5,520","179.16K","-1.42%"
"2022년 06월 02일","5,630","5,660","5,720","5,630","0.01K","-0.53%"
"2022년 05월 31일","5,660","5,580","5,680","5,550","215.29K","1.62%"
"2022년 05월 30일","5,570","5,530","5,600","5,520","118.44K","1.09%"
"2022년 05월 27일","5,510","5,520","5,600","5,500","139.52K","0.18%"
"2022년 05월 26일","5,500","5,350","5,580","5,290","422.55K","3.58%"
"2022년 05월 25일","5,310","5,380","5,440","5,290","0.19K","-1.30%"
"2022년 05월 24일","5,380","5,580","5,610","5,380","0.43K","-3.58%"
"2022년 05월 23일","5,580","5,660","5,660","5,560","0.10K","-0.89%"
"2022년 05월 20일","5,630","5,610","5,830","5,610","335.68K","1.81%"
