"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 06월 30일","2,955","3,110","3,110","2,950","0.16K","-4.52%"
"2022년 06월 29일","3,095","3,190","3,225","3,090","3.60K","-0.16%"
"2022년 06월 28일","3,100","3,175","3,230","3,045","0.84K","-2.52%"
"2022년 06월 27일","3,180","3,090","3,200","3,080","0.03K","3.41%"
"2022년 06월 26일","3,075","3,075","3,075","3,075","-","0.00%"
"2022년 06월 24일","3,075","2,955","3,090","2,855","6.23M","3.19%"
"2022년 06월 23일","2,980","3,185","3,220","2,930","15.64K","-7.60%"
"2022년 06월 22일","3,225","3,405","3,570","3,215","2.47K","-5.56%"
"2022년 06월 21일","3,415","3,560","3,620","3,375","23.08K","-3.53%"
"2022년 06월 20일","3,540","3,560","3,665","3,530","1.41K","-0.28%"
"2022년 06월 19일","3,550","3,550","3,550","3,550","-","0.00%"
"2022년 06월 17일","3,550","3,815","3,830","3,495","11.44M","-0.42%"
"2022년 06월 16일","3,565","3,580","3,650","3,530","1.01K","0.99%"
"2022년 06월 15일","3,530","3,585","3,890","3,530","2.27K","-3.68%"
"2022년 06월 14일","3,665","4,020","4,080","3,630","6.82K","-7.80%"
"2022년 06월 13일","3,975","3,825","4,205","3,790","62.25K","5.86%"
"2022년 06월 12일","3,755","3,755","3,755","3,755","-","0.00%"
"2022년 06월 10일","3,755","3,660","3,875","3,660","8.45M","1.90%"
"2022년 06월 09일","3,685","3,880","3,880","3,685","7.86K","-4.66%"
"2022년 06월 08일","3,865","3,970","3,970","3,840","11.14K","-3.25%"
"2022년 06월 07일","3,995","4,005","4,080","3,960","11.23K","1.52%"
"2022년 06월 06일","3,935","3,935","3,935","3,935","-","0.00%"
"2022년 06월 03일","3,935","3,985","4,060","3,930","5.72M","-2.60%"
"2022년 06월 02일","4,040","3,970","4,090","3,900","20.33K","0.87%"
"2022년 06월 01일","4,005","4,005","4,005","4,005","-","0.00%"
"2022년 05월 31일","4,005","4,145","4,185","3,985","11.96M","-2.20%"
"2022년 05월 30일","4,095","4,090","4,265","4,000","27.65M","2.89%"
"2022년 05월 29일","3,980","3,980","3,980","3,980","-","0.00%"
"2022년 05월 27일","3,980","3,805","4,470","3,775","100.45M","7.28%"
"2022년 05월 26일","3,710","3,830","3,850","3,670","0.55K","-2.75%"
"2022년 05월 25일","3,815","3,875","3,955","3,740","29.36K","-1.29%"
"2022년 05월 24일","3,865","3,970","4,120","3,865","10.34K","-3.13%"
"2022년 05월 23일","3,990","4,155","4,155","3,945","16.67K","-5.34%"
"2022년 05월 22일","4,215","4,215","4,215","4,215","-","0.00%"
"2022년 05월 20일","4,215","4,000","4,430","3,990","75.21M","6.17%"
"2022년 05월 19일","3,970","3,920","4,165","3,900","11.49K","-2.82%"
"2022년 05월 18일","4,085","3,925","4,285","3,860","25.45K","0.99%"
"2022년 05월 17일","4,045","4,475","4,475","3,975","13.47K","-8.17%"
"2022년 05월 16일","4,405","3,850","4,460","3,825","9.48K","22.19%"
"2022년 05월 15일","3,605","3,605","3,605","3,605","-","0.00%"
"2022년 05월 13일","3,605","3,690","3,740","3,465","11.86M","-1.10%"
"2022년 05월 12일","3,645","4,110","4,110","3,645","28.02K","-9.44%"
"2022년 05월 11일","4,025","3,950","4,170","3,860","40.25K","3.34%"
"2022년 05월 10일","3,895","4,060","4,370","3,855","74.31M","1.83%"
"2022년 05월 09일","3,825","3,860","4,060","3,770","17.59M","-2.05%"
"2022년 05월 08일","3,905","3,905","3,905","3,905","-","0.00%"
"2022년 05월 06일","3,905","4,040","4,280","3,750","20.85M","-4.05%"
"2022년 05월 05일","4,070","4,070","4,070","4,070","-","0.00%"
"2022년 05월 04일","4,070","4,360","4,360","4,025","18.54M","-7.92%"
"2022년 05월 03일","4,420","4,765","4,840","4,355","26.98M","-4.33%"
"2022년 05월 02일","4,620","4,805","5,000","4,575","66.51M","3.36%"
"2022년 05월 01일","4,470","4,470","4,470","4,470","-","0.00%"
"2022년 04월 29일","4,470","4,540","4,970","4,245","56.10M","-2.61%"
"2022년 04월 28일","4,590","4,310","5,160","3,995","173.42M","5.88%"
"2022년 04월 27일","4,335","5,700","6,330","4,145","116.83M","-18.52%"
"2022년 04월 26일","5,320","4,530","5,320","4,500","102.11M","29.91%"
"2022년 04월 25일","4,095","3,130","4,095","3,130","161.38M","30.00%"
"2022년 04월 24일","3,150","3,150","3,150","3,150","-","0.00%"
"2022년 04월 22일","3,150","3,010","3,265","2,970","38.85M","5.18%"
"2022년 04월 21일","2,995","3,080","3,120","2,925","11.41M","-2.28%"
"2022년 04월 20일","3,065","3,295","3,330","3,060","27.94M","-5.40%"
"2022년 04월 19일","3,240","3,165","3,415","3,055","92.41M","7.64%"
"2022년 04월 18일","3,010","2,990","3,220","2,950","37.30M","2.03%"
"2022년 04월 17일","2,950","2,950","2,950","2,950","-","0.00%"
"2022년 04월 15일","2,950","2,805","3,065","2,765","48.80M","5.17%"
"2022년 04월 14일","2,805","2,775","2,890","2,755","11.99M","1.81%"
"2022년 04월 13일","2,755","2,835","2,855","2,730","4.52M","-2.65%"
"2022년 04월 12일","2,830","2,785","2,865","2,640","14.58M","2.91%"
"2022년 04월 11일","2,750","2,640","2,750","2,640","4.84M","4.17%"
"2022년 04월 10일","2,640","2,640","2,640","2,640","-","0.00%"
"2022년 04월 08일","2,640","2,740","2,750","2,570","2.93M","-1.12%"
"2022년 04월 07일","2,670","2,815","2,835","2,660","4.74M","-3.96%"
"2022년 04월 06일","2,780","2,770","2,830","2,735","6.27M","1.83%"
"2022년 04월 05일","2,730","2,780","2,840","2,705","7.64M","1.49%"
"2022년 04월 04일","2,690","2,800","2,800","2,680","3.60M","-3.06%"
"2022년 04월 03일","2,775","2,775","2,775","2,775","-","0.00%"
"2022년 04월 01일","2,775","2,800","2,850","2,720","5.47M","-0.18%"
"2022년 03월 31일","2,780","2,755","2,935","2,750","24.74M","4.71%"
"2022년 03월 30일","2,655","2,685","2,775","2,645","6.18M","-4.50%"
"2022년 03월 29일","2,780","2,850","2,885","2,780","7.84M","-5.60%"
"2022년 03월 28일","2,945","3,020","3,065","2,860","11.25M","-0.84%"
"2022년 03월 27일","2,970","2,970","2,970","2,970","-","0.00%"
"2022년 03월 25일","2,970","3,040","3,130","2,955","12.57M","-2.78%"
"2022년 03월 24일","3,055","3,315","3,500","3,030","51.97M","0.83%"
"2022년 03월 23일","3,030","3,090","3,160","2,955","27.87M","-0.82%"
"2022년 03월 22일","3,055","2,845","3,320","2,835","84.75M","8.53%"
"2022년 03월 21일","2,815","2,580","2,920","2,555","51.03M","10.39%"
"2022년 03월 20일","2,550","2,550","2,550","2,550","-","0.00%"
"2022년 03월 18일","2,550","2,560","2,605","2,550","3.36M","0.39%"
"2022년 03월 17일","2,540","2,520","2,580","2,495","4.82M","-2.31%"
"2022년 03월 16일","2,600","2,695","2,700","2,585","4.46M","-1.70%"
"2022년 03월 15일","2,645","2,655","2,730","2,615","10.79M","2.12%"
"2022년 03월 14일","2,590","2,535","2,730","2,535","13.25M","2.57%"
"2022년 03월 13일","2,525","2,525","2,525","2,525","-","0.00%"
"2022년 03월 11일","2,525","2,665","2,710","2,520","6.26M","-4.54%"
"2022년 03월 10일","2,645","2,465","2,730","2,405","16.36M","0.00%"
"2022년 03월 09일","2,645","2,645","2,645","2,645","-","0.00%"
"2022년 03월 08일","2,645","2,880","2,900","2,635","11.69M","-8.16%"
"2022년 03월 07일","2,880","2,890","2,965","2,830","20.54M","2.49%"
"2022년 03월 06일","2,810","2,810","2,810","2,810","-","0.00%"
"2022년 03월 04일","2,810","2,910","3,015","2,785","42.30M","1.63%"
"2022년 03월 03일","2,765","2,830","2,930","2,755","25.91M","-4.16%"
"2022년 03월 02일","2,885","2,810","2,980","2,705","74.58M","11.18%"
"2022년 03월 01일","2,595","2,595","2,595","2,595","-","0.00%"
"2022년 02월 28일","2,595","2,790","2,865","2,580","19.46M","-5.46%"
"2022년 02월 27일","2,745","2,745","2,745","2,745","-","0.00%"
"2022년 02월 25일","2,745","2,800","3,120","2,730","58.48M","-9.70%"
"2022년 02월 24일","3,040","2,880","3,195","2,760","122.92M","13.22%"
"2022년 02월 23일","2,685","2,795","2,915","2,605","76.93M","-0.74%"
"2022년 02월 22일","2,705","2,560","2,845","2,465","87.00M","12.24%"
"2022년 02월 21일","2,410","2,505","2,560","2,365","14.50M","2.12%"
"2022년 02월 20일","2,360","2,360","2,360","2,360","-","0.00%"
"2022년 02월 18일","2,360","2,540","2,600","2,340","13.54M","-2.48%"
"2022년 02월 17일","2,420","2,310","2,540","2,275","23.97M","5.45%"
