"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 06월 30일","6,810","7,050","7,090","6,810","50.69K","-3.40%"
"2022년 06월 29일","7,050","6,900","7,090","6,880","48.51K","0.14%"
"2022년 06월 28일","7,040","7,060","7,160","6,940","0.01K","0.28%"
"2022년 06월 27일","7,020","6,890","7,070","6,800","61.50K","3.69%"
"2022년 06월 24일","6,770","6,390","6,790","6,390","104.35K","4.80%"
"2022년 06월 23일","6,460","6,790","6,830","6,390","2.20K","-4.15%"
"2022년 06월 22일","6,740","7,250","7,310","6,740","210.89K","-7.03%"
"2022년 06월 21일","7,250","7,130","7,270","7,080","86.95K","1.40%"
"2022년 06월 20일","7,150","7,640","7,730","7,100","178.15K","-6.54%"
"2022년 06월 17일","7,650","7,500","7,650","7,330","178.89K","-0.65%"
"2022년 06월 16일","7,700","7,770","7,970","7,650","115.96K","0.13%"
"2022년 06월 15일","7,690","7,970","8,050","7,570","167.43K","-3.88%"
"2022년 06월 14일","8,000","7,890","8,060","7,780","124.90K","-1.60%"
"2022년 06월 13일","8,130","8,370","8,500","8,110","171.41K","-5.68%"
"2022년 06월 10일","8,620","8,750","8,780","8,590","109.20K","-2.27%"
"2022년 06월 09일","8,820","8,900","8,950","8,760","82.79K","-1.45%"
"2022년 06월 08일","8,950","9,080","9,100","8,870","107.34K","-1.21%"
"2022년 06월 07일","9,060","9,080","9,170","8,990","121.66K","0.11%"
"2022년 06월 03일","9,050","9,090","9,110","9,010","51.65K","-0.22%"
"2022년 06월 02일","9,070","9,070","9,100","8,990","65.14K","0.00%"
"2022년 06월 01일","9,070","9,070","9,070","9,070","-","0.00%"
"2022년 05월 31일","9,070","9,060","9,110","9,000","75.02K","0.00%"
"2022년 05월 30일","9,070","9,150","9,170","9,040","85.34K","0.11%"
"2022년 05월 27일","9,060","9,020","9,150","8,930","137.81K","1.57%"
"2022년 05월 26일","8,920","8,900","9,040","8,890","71.30K","0.22%"
"2022년 05월 25일","8,900","8,880","9,010","8,820","82.00K","0.23%"
"2022년 05월 24일","8,880","9,080","9,090","8,850","0.00K","-2.31%"
"2022년 05월 23일","9,090","9,160","9,160","9,020","0.17K","-0.55%"
"2022년 05월 22일","9,140","9,140","9,140","9,140","-","0.00%"
"2022년 05월 20일","9,140","9,230","9,340","9,130","204.37K","1.56%"
"2022년 05월 19일","9,000","8,990","9,050","8,910","108.90K","-1.75%"
"2022년 05월 18일","9,160","9,200","9,270","9,100","0.05K","0.22%"
"2022년 05월 17일","9,140","9,120","9,280","9,080","262.08K","0.33%"
"2022년 05월 16일","9,110","9,250","9,290","9,080","239.22K","-0.65%"
"2022년 05월 15일","9,170","9,170","9,170","9,170","-","0.00%"
"2022년 05월 13일","9,170","8,920","9,400","8,920","327.31K","2.80%"
"2022년 05월 12일","8,920","9,020","9,240","8,920","148.40K","-1.98%"
"2022년 05월 11일","9,100","8,920","9,300","8,920","0.00K","2.02%"
"2022년 05월 10일","8,920","8,800","8,970","8,620","214.26K","-1.22%"
"2022년 05월 09일","9,030","9,400","9,430","9,030","240.01K","-4.65%"
