"지수종류별(1)",지수종류별(2),2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06
"KOSDAQ",소계,642.48,610.73,569.07,645.18,713.68,737.97,815.30,848.24,848.15,792.65,886.11,968.42,928.73,913.94,956.17,983.45,981.78,1029.96,1031.14,1038.33,1003.27,992.33,965.63,1033.98,872.87,881.07,944.53,904.75,893.36,745.44
"KOSDAQ 150",소계,958.52,927.48,916.50,992.70,1093.38,1167.14,1277.58,1336.94,1310.49,1203.73,1348.49,1532.52,1427.72,1363.12,1423.20,1405.47,1399.60,1464.08,1452.86,1512.05,1475.06,1444.19,1448.84,1524.21,1244.90,1257.14,1332.65,1261.29,1269.22,1056.42
"KOSDAQ IT",소계,816.19,764.37,657.85,783.94,856.43,883.46,1002.12,1015.33,1019.23,945.62,1049.97,1138.77,1136.55,1152.49,1203.14,1222.92,1207.13,1276.99,1308.32,1296.80,1247.77,1335.35,1381.55,1504.22,1238.68,1223.17,1322.48,1226.94,1210.47,952.51
"소속부별",KOSDAQ 우량기업부,1216.69,1162.36,1081.94,1214.65,1329.25,1386.46,1553.72,1571.59,1563.79,1472.22,1647.02,1846.07,1803.85,1757.87,1845.30,1882.86,1886.30,1996.26,2007.04,2028.71,1934.44,1909.12,1908.16,2044.46,1718.58,1750.58,1880.09,1810.49,1769.27,1473.07
"소속부별",KOSDAQ 벤처기업부,1382.78,1328.90,1182.93,1377.96,1524.56,1506.84,1684.47,1793.78,1829.72,1699.23,1909.81,1991.94,1963.97,1938.51,2071.94,2134.85,2109.85,2173.45,2198.83,2164.08,2177.39,2078.56,2004.98,2194.43,1895.91,1866.49,1989.62,1889.58,1850.08,1522.25
"소속부별",KOSDAQ 중견기업부,1366.91,1273.25,1152.84,1353.70,1494.66,1509.33,1575.09,1652.90,1701.65,1594.72,1814.61,1914.51,1830.38,1845.73,1917.68,1983.88,2022.31,2109.06,2094.69,2098.33,2096.43,2144.48,2020.25,2156.11,1832.39,1888.08,2033.75,1963.85,2010.14,1655.61
"소속부별",KOSDAQ 기술성장기업부,4229.34,4068.84,4408.95,4772.12,5767.31,6466.14,7631.36,8627.17,8115.79,7281.61,7923.00,9030.79,7853.93,7545.93,7722.63,8089.71,7705.69,8092.29,7992.93,8256.20,7574.60,7229.44,6766.30,7195.23,5811.21,5499.83,5930.77,5436.69,5270.70,4523.13
"시가총액규모별",대형주,1284.25,1239.22,1232.95,1333.11,1476.10,1581.06,1728.09,1802.33,1773.26,1639.84,1845.70,2110.46,1966.29,1873.35,1963.52,1943.23,1937.02,2033.20,2041.12,2135.07,2093.42,2058.34,2115.91,2187.20,1743.70,1778.40,1882.44,1761.46,1780.25,1491.64
"시가총액규모별",중형주,607.36,575.41,517.91,607.86,672.73,689.81,776.10,804.74,792.34,732.26,818.50,866.90,856.32,852.90,890.63,944.72,923.43,966.12,958.68,960.17,919.35,910.81,861.08,939.06,823.00,821.33,880.04,849.68,826.01,676.33
"시가총액규모별",소형주,2259.70,2089.02,1828.61,2150.44,2336.35,2320.38,2554.57,2634.24,2756.43,2656.30,2944.66,3044.99,3021.65,3070.55,3273.09,3451.12,3550.86,3737.53,3697.27,3573.93,3447.25,3429.08,3162.05,3507.45,3117.52,3167.44,3442.37,3381.91,3290.86,2753.25
