"지수종류별(1)",지수종류별(2),2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06
"KOSPI",소계,2119.01,1987.01,1754.64,1947.56,2029.60,2108.33,2249.37,2326.17,2327.89,2267.15,2591.34,2873.47,2976.21,3012.95,3061.42,3147.86,3203.92,3296.68,3202.32,3199.27,3068.82,2970.68,2839.01,2977.65,2663.34,2699.18,2757.65,2695.05,2685.90,2332.64
"KOSPI 200",소계,284.53,268.02,236.82,258.15,268.32,280.09,299.32,307.14,309.44,301.60,346.05,389.29,404.56,409.91,415.04,422.36,427.91,438.84,423.91,419.79,401.30,388.47,373.24,394.19,357.98,361.54,365.61,355.08,354.54,307.20
"V-KOSPI 200",소계,19.29,33.81,48.55,30.51,25.64,31.07,23.57,27.77,24.15,31.97,20.77,22.09,35.73,31.34,20.44,18.84,17.04,14.17,17.30,14.76,17.35,18.55,23.23,16.50,23.97,24.41,17.14,18.92,17.26,23.90
"KOSPI 100",소계,2189.17,2065.25,1824.98,1983.03,2061.98,2155.31,2292.27,2356.16,2370.28,2308.80,2644.83,2974.06,3096.25,3132.45,3162.10,3205.36,3235.01,3319.53,3199.74,3169.86,3017.17,2926.41,2821.39,2976.54,2709.36,2725.83,2749.69,2667.16,2664.55,2309.98
"KOSPI 50",소계,1965.61,1857.10,1648.20,1783.81,1859.43,1959.45,2086.03,2150.86,2158.75,2099.01,2408.64,2725.20,2849.47,2885.52,2902.81,2940.72,2964.66,3056.06,2949.94,2919.10,2771.92,2697.46,2626.14,2755.64,2501.10,2496.85,2515.99,2431.60,2422.86,2088.88
"시가총액규모별",대형주,2105.45,1980.75,1751.12,1919.56,1999.13,2091.17,2209.65,2276.10,2282.98,2225.23,2546.92,2859.22,2982.04,3012.29,3051.11,3111.00,3151.65,3234.06,3120.58,3093.99,2949.27,2856.06,2753.18,2905.03,2644.18,2665.50,2714.02,2635.31,2638.40,2290.09
"시가총액규모별",중형주,2082.49,1924.64,1704.43,2015.82,2102.40,2110.89,2347.40,2518.05,2477.65,2439.12,2779.50,2953.99,2968.67,3076.87,3193.49,3375.04,3542.54,3633.23,3609.72,3564.94,3547.21,3429.63,3091.88,3296.42,2977.37,3106.77,3199.95,3181.97,3131.48,2748.79
"시가총액규모별",소형주,1730.31,1594.30,1374.80,1641.50,1727.72,1725.09,1862.67,1938.47,1964.79,1917.03,2144.27,2210.75,2216.19,2270.59,2442.29,2661.29,2731.50,2880.01,2814.90,2745.40,2770.43,2709.68,2362.62,2577.15,2346.65,2486.33,2618.50,2709.81,2595.77,2214.18
"F-KOSPI 200",소계,1397.56,1312.77,1159.60,1268.19,1311.92,1383.30,1474.68,1510.89,1529.18,1488.97,1713.20,1945.71,2022.21,2049.71,2076.56,2113.87,2141.91,2200.74,2128.27,2103.70,2015.02,1948.02,1873.74,1995.56,1804.99,1828.27,1851.87,1800.72,1793.38,1557.34
"F-KOSPI 200 인버스지수",소계,795.12,842.52,910.92,826.29,796.39,747.89,700.26,681.02,670.91,688.34,596.68,523.75,499.92,490.81,483.73,474.95,468.11,455.52,470.69,475.41,496.12,512.32,531.65,498.65,549.40,541.60,533.69,548.29,549.77,631.03
"KOSPI 200 레버리지지수",소계,244.18,215.25,161.78,190.65,205.19,221.31,252.02,264.16,267.27,253.37,332.30,418.96,448.60,457.95,468.30,484.15,495.91,520.95,485.28,474.44,432.72,404.22,371.85,413.47,339.26,344.77,351.16,330.12,327.80,244.44
"KOSPI 200 커버드콜 지수",소계,345.39,326.06,293.92,319.01,332.91,328.46,349.38,340.05,344.11,337.36,382.74,404.17,390.26,399.18,408.00,416.66,422.46,435.23,421.23,417.59,400.08,388.07,373.68,395.07,359.34,363.76,369.41,359.97,357.52,313.84
"KOSPI 200 프로텍티브풋 지수",소계,142.31,142.10,134.73,139.63,143.09,148.76,156.06,161.62,159.47,156.79,175.22,195.30,206.37,203.27,201.35,204.24,204.66,209.10,201.80,198.76,189.42,182.26,175.50,182.89,172.45,168.04,166.02,160.81,159.36,146.87
"동일가중지수",KOSPI 200,1685.32,1545.82,1339.68,1560.53,1618.93,1625.44,1741.82,1852.47,1842.78,1811.39,2030.54,2180.36,2253.20,2319.62,2417.42,2539.04,2656.49,2700.43,2638.17,2624.47,2575.25,2491.83,2258.51,2394.62,2157.97,2272.95,2368.61,2363.07,2339.31,2053.40
"동일가중지수",KOSPI 100,1701.39,1572.66,1350.10,1547.42,1597.91,1593.14,1666.18,1752.90,1751.92,1737.39,1940.06,2069.69,2127.97,2165.78,2260.05,2338.87,2415.81,2452.34,2382.43,2386.75,2312.86,2238.44,2052.26,2150.36,1954.73,2042.15,2121.47,2103.13,2102.77,1874.44
"동일가중지수",KOSPI 50,1412.78,1310.15,1136.67,1274.91,1327.75,1347.95,1422.81,1525.38,1510.17,1495.79,1678.03,1819.77,1897.28,1922.90,1985.35,2059.96,2131.12,2181.23,2142.51,2153.09,2072.98,2006.53,1908.46,1971.55,1764.74,1796.76,1860.10,1816.77,1813.51,1570.11
