"행정구역","2022년06월_계_총인구수","2022년06월_계_연령구간인구수","2022년06월_계_0~9세","2022년06월_계_10~19세","2022년06월_계_20~29세","2022년06월_계_30~39세","2022년06월_계_40~49세","2022년06월_계_50~59세","2022년06월_계_60~69세","2022년06월_계_70~79세","2022년06월_계_80~89세","2022년06월_계_90~99세","2022년06월_계_100세 이상"
"서울특별시  (1100000000)","9,494,807","9,494,807","564,739","752,985","1,412,722","1,430,728","1,470,923","1,507,380","1,290,741","710,430","309,902","42,531","1,726"
"서울특별시 종로구 (1111000000)","143,624","143,624","6,703","10,176","22,674","19,363","20,540","24,745","20,405","11,637","6,390","951","40"
"서울특별시 종로구 청운효자동(1111051500)","11,803","11,803","696","1,135","1,501","1,538","2,072","1,905","1,405","934","547","67","3"
"서울특별시 종로구 사직동(1111053000)","9,310","9,310","535","664","1,168","1,472","1,436","1,543","1,204","710","489","88","1"
"서울특별시 종로구 삼청동(1111054000)","2,386","2,386","91","167","294","294","341","370","407","238","153","28","3"
"서울특별시 종로구 부암동(1111055000)","9,432","9,432","472","833","1,193","1,189","1,521","1,661","1,338","735","409","77","4"
"서울특별시 종로구 평창동(1111056000)","17,963","17,963","1,137","1,543","2,258","2,146","2,661","3,256","2,695","1,323","785","151","8"
"서울특별시 종로구 무악동(1111057000)","8,150","8,150","608","956","861","872","1,369","1,438","1,053","591","358","39","5"
"서울특별시 종로구 교남동(1111058000)","9,947","9,947","799","781","1,159","1,541","1,768","1,588","1,195","706","375","33","2"
"서울특별시 종로구 가회동(1111060000)","4,026","4,026","175","300","468","534","668","698","569","381","199","34","0"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,199","7,199","178","207","983","965","908","1,261","1,400","813","417","62","5"
"서울특별시 종로구 종로5.6가동(1111063000)","5,056","5,056","86","195","1,131","759","518","881","762","468","225","29","2"
"서울특별시 종로구 이화동(1111064000)","7,231","7,231","216","347","1,627","1,216","887","1,093","915","570","315","43","2"
"서울특별시 종로구 혜화동(1111065000)","16,369","16,369","602","1,306","4,410","2,010","2,042","2,361","1,672","1,158","698","106","4"
"서울특별시 종로구 창신제1동(1111067000)","4,857","4,857","126","198","607","577","554","980","1,009","522","254","30","0"
"서울특별시 종로구 창신제2동(1111068000)","7,837","7,837","183","398","1,069","913","926","1,756","1,427","775","347","43","0"
"서울특별시 종로구 창신제3동(1111069000)","6,496","6,496","341","450","893","900","856","1,221","1,040","495","258","41","1"
"서울특별시 종로구 숭인제1동(1111070000)","5,835","5,835","221","353","757","789","868","1,126","927","503","252","39","0"
"서울특별시 종로구 숭인제2동(1111071000)","9,727","9,727","237","343","2,295","1,648","1,145","1,607","1,387","715","309","41","0"
"서울특별시 중구 (1114000000)","122,088","122,088","6,074","6,502","18,000","19,910","17,206","19,910","17,999","10,377","5,234","840","36"
"서울특별시 중구 소공동(1114052000)","2,237","2,237","157","123","267","494","504","310","236","103","37","6","0"
"서울특별시 중구 회현동(1114054000)","4,733","4,733","172","220","452","554","621","858","1,020","535","240","57","4"
"서울특별시 중구 명동(1114055000)","2,889","2,889","80","146","365","394","415","491","516","305","150","26","1"
"서울특별시 중구 필동(1114057000)","4,036","4,036","164","198","718","677","459","589","615","351","213","51","1"
"서울특별시 중구 장충동(1114058000)","4,639","4,639","153","302","1,224","663","554","610","546","356","202","28","1"
"서울특별시 중구 광희동(1114059000)","5,295","5,295","116","190","1,069","939","603","798","826","518","207","28","1"
"서울특별시 중구 을지로동(1114060500)","1,737","1,737","34","39","239","321","183","269","368","190","80","14","0"
"서울특별시 중구 신당동(1114061500)","7,748","7,748","261","275","1,396","1,317","1,067","1,325","1,104","657","291","52","3"
"서울특별시 중구 다산동(1114062500)","13,710","13,710","483","767","2,238","2,200","1,843","2,257","2,005","1,219","604","90","4"
"서울특별시 중구 약수동(1114063500)","16,547","16,547","955","924","1,932","2,308","2,340","2,742","2,680","1,617","884","161","4"
"서울특별시 중구 청구동(1114064500)","13,432","13,432","664","828","1,800","2,140","1,789","2,261","2,052","1,147","660","88","3"
"서울특별시 중구 신당제5동(1114065000)","10,284","10,284","530","516","1,594","1,690","1,516","1,840","1,368","793","388","45","4"
"서울특별시 중구 동화동(1114066500)","10,159","10,159","624","786","1,258","1,299","1,449","1,895","1,539","771","476","60","2"
"서울특별시 중구 황학동(1114067000)","12,649","12,649","694","473","2,130","2,838","1,853","1,783","1,548","895","365","68","2"
"서울특별시 중구 중림동(1114068000)","11,993","11,993","987","715","1,318","2,076","2,010","1,882","1,576","920","437","66","6"
"서울특별시 용산구 (1117000000)","222,263","222,263","12,344","14,526","32,424","37,880","33,314","36,051","29,361","15,986","8,831","1,469","77"
"서울특별시 용산구 후암동(1117051000)","16,636","16,636","836","1,130","2,351","2,773","2,505","2,732","2,269","1,276","647","103","14"
"서울특별시 용산구 용산2가동(1117052000)","9,322","9,322","288","477","1,423","1,653","1,294","1,358","1,392","898","461","77","1"
"서울특별시 용산구 남영동(1117053000)","7,260","7,260","162","245","905","1,013","974","1,597","1,397","630","291","40","6"
"서울특별시 용산구 청파동(1117055500)","19,309","19,309","599","1,042","4,179","3,267","2,521","3,012","2,457","1,407","733","88","4"
"서울특별시 용산구 원효로제1동(1117056000)","16,530","16,530","1,188","944","2,781","3,820","2,626","2,221","1,707","811","369","60","3"
"서울특별시 용산구 원효로제2동(1117057000)","13,712","13,712","816","1,122","1,876","2,168","2,085","2,265","1,795","984","518","80","3"
"서울특별시 용산구 효창동(1117058000)","10,705","10,705","823","727","1,608","1,940","1,659","1,703","1,166","666","359","54","0"
"서울특별시 용산구 용문동(1117059000)","11,717","11,717","681","702","1,717","1,960","1,681","1,937","1,574","964","440","59","2"
"서울특별시 용산구 한강로동(1117062500)","21,602","21,602","1,253","995","3,539","4,827","2,882","3,373","2,638","1,266","710","111","8"
"서울특별시 용산구 이촌제1동(1117063000)","25,641","25,641","2,391","2,668","2,613","3,108","4,362","4,422","2,967","1,671","1,187","241","11"
"서울특별시 용산구 이촌제2동(1117064000)","8,194","8,194","497","494","834","1,311","1,194","1,337","1,350","711","396","69","1"
"서울특별시 용산구 이태원제1동(1117065000)","6,308","6,308","217","256","1,006","1,123","807","986","1,010","527","304","72","0"
"서울특별시 용산구 이태원제2동(1117066000)","8,898","8,898","382","447","1,343","1,673","1,309","1,276","1,191","752","455","69","1"
"서울특별시 용산구 한남동(1117068500)","20,247","20,247","1,102","1,139","2,507","3,783","3,230","3,160","2,847","1,539","775","148","17"
"서울특별시 용산구 서빙고동(1117069000)","12,979","12,979","722","1,452","1,710","1,431","2,315","2,297","1,565","766","616","104","1"
"서울특별시 용산구 보광동(1117070000)","13,203","13,203","387","686","2,032","2,030","1,870","2,375","2,036","1,118","570","94","5"
"서울특별시 성동구 (1120000000)","283,821","283,821","18,719","18,885","42,648","46,118","42,858","45,680","38,037","20,231","9,413","1,179","53"
"서울특별시 성동구 왕십리제2동(1120052000)","16,320","16,320","1,160","1,100","2,327","2,798","2,467","2,661","2,130","1,130","478","67","2"
"서울특별시 성동구 왕십리도선동(1120053500)","26,534","26,534","2,133","1,645","4,203","4,470","4,017","4,343","3,186","1,606","814","116","1"
"서울특별시 성동구 마장동(1120054000)","22,282","22,282","1,101","1,542","4,224","3,186","2,841","3,519","3,186","1,748","818","113","4"
"서울특별시 성동구 사근동(1120055000)","12,109","12,109","401","823","4,785","1,611","1,117","1,291","970","722","358","30","1"
"서울특별시 성동구 행당제1동(1120056000)","13,893","13,893","956","977","2,197","2,280","2,081","2,230","1,717","938","445","67","5"
"서울특별시 성동구 행당제2동(1120057000)","23,100","23,100","1,681","1,961","2,734","3,440","3,763","3,964","2,912","1,744","797","100","4"
"서울특별시 성동구 응봉동(1120058000)","15,199","15,199","1,067","1,569","1,701","2,077","2,756","2,471","1,775","1,144","579","60","0"
"서울특별시 성동구 금호1가동(1120059000)","15,081","15,081","1,179","1,076","1,628","2,413","2,549","2,343","2,148","1,131","548","63","3"
"서울특별시 성동구 금호2.3가동(1120061500)","22,459","22,459","1,676","1,318","2,668","3,934","3,599","3,610","3,033","1,702","808","105","6"
"서울특별시 성동구 금호4가동(1120062000)","14,245","14,245","1,267","940","1,388","2,464","2,573","2,116","1,895","1,058","483","55","6"
"서울특별시 성동구 옥수동(1120064500)","25,801","25,801","2,447","1,644","2,637","4,652","4,477","3,810","3,428","1,753","824","122","7"
"서울특별시 성동구 성수1가제1동(1120065000)","16,392","16,392","1,003","1,042","2,423","2,862","2,308","2,997","2,352","937","410","54","4"
