"장애유형	합계	1급			2급			3급			4급				5급			6급		",,,,,,,,,,,,,,,,,,,,
"		남	여	합계	남	여	합계	남	여	합계	남	여	합계		남	여	합계	남	여	합계",,,,,,,,,,,,,,,,,,,,
"합계	""2",490,"406""	""115","858""	""82","064""	""197","922""	""194","950""	""139","923""	""334","873""	""264","246""	""168","340""	""432","586""	""188","253""	""182","050""	""370","303""		""277","361""	""244","628""	""521","989""	""406","275""	""226","458""	""632","733"""
"지체	""1",281,"497""	""23","221""	""11","355""	""34","576""	""43","737""	""23","789""	""67","526""	""103","133""	""52","353""	""155","486""	""117","844""	""130","296""	""248","140""		""193","563""	""182","313""	""375","876""	""259","591""	""140","302""	""399","893"""
"시각	""252","874""	""16","339""	""15","511""	""31","850""	""3","337""	""3","548""	""6","885""	""5","962""	""5","794""	""11","756""	""6","827""	""6","600""	""13","427""		""11","740""	""9","467""	""21","207""	""106","678""	""61","071""	""167","749""",
"청각	""250","334""	""3","728""	""3","108""	""6","836""	""23","754""	""21","675""	""45","429""	""22","782""	""17","990""	""40","772""	""30","058""	""24","482""	""54","540""		""34","348""	""29","736""	""64","084""	""22","180""	""16","493""	""38","673""",
"언어	""18","813""	100	58	158	""1","378""	726	""2","104""	""5","742""	""2","038""	""7","780""	""6","259""	""2","508""	""8","767""		3	0	3	1	0	1",,,,,,,,,,,
"지적	""189","752""	""29","573""	""20","300""	""49","873""	""38","231""	""26","842""	""65","073""	""46","614""	""28","191""	""74","805""	1	0	1		0	0	0	0	0	0",,,,,,,,,,
"뇌병변	""250","862""	""29","315""	""26","569""	""55","884""	""27","566""	""24","559""	""52","125""	""32","928""	""24","388""	""57","316""	""18","430""	""12","595""	""31","025""		""17","575""	""10","524""	""28","099""	""17","823""	""8","590""	""26","413""",
"자폐성	""21","103""	""7","882""	""1","657""	""9","539""	""7","165""	""1","197""	""8","362""	""2","917""	285	""3","202""	0	0	0		0	0	0	0	0	0",,,,,,,,,,,
"정신	""98","643""	""1","302""	""1","159""	""2","461""	""16","018""	""13","705""	""29","723""	""33","989""	""32","469""	""66","458""	0	1	1		0	0	0	0	0	0",,,,,,,,,,
"신장	""74","468""	""2","770""	""1","610""	""4","380""	""29","952""	""22","323""	""52","275""	43	22	65	383	206	589		""9","984""	""7","175""	""17","159""	0	0	0",,,,,,,,,,
"심장	""5","833""	93	62	155	439	295	734	""2","664""	""1","624""	""4","288""	29	10	39		421	196	617	0	0	0",,,,,,,,,,,,,,,,
"호흡기	""12","033""	""1","213""	513	""1","726""	""2","609""	781	""3","390""	""5","119""	""1","705""	""6","824""	4	0	4		45	44	89	0	0	0",,,,,,,,,,,,
"간	""10","324""	194	56	250	258	94	352	466	140	606	214	43	257		""6","313""	""2","546""	""8","859""	0	0	0",,,,,,,,,,,,,,,,
"안면	""2","685""	53	45	98	231	184	415	541	368	909	691	503	""1","194""		38	29	67	1	1	2",,,,,,,,,,,,,,,,,,
"장루.요루	""14","116""	7	0	7	66	45	111	626	346	972	""5","211""	""2","874""	""8","085""		""2","773""	""2","167""	""4","940""	0	1	1",,,,,,,,,,,,,
"뇌전증	""7","069""	68	61	129	209	160	369	720	627	""1","347""	""2","302""	""1","932""	""4","234""		558	431	989	1	0	1",,,,,,,,,,,,,,,
