장애유형,합  계,,,1급,,,2급,,,3급,,,4급,,,5급,,,6급,,
,남,여,합계,남,여,합계,남,여,합계,남,여,합계,남,여,합계,남,여,합계,남,여,합계
합계,"1,457,588","1,053,463","2,511,051","116,033","81,799","197,832","196,149","140,700","336,849","264,969","169,907","434,876","190,979","182,075","373,054","281,598","249,116","530,714","407,860","229,866","637,726"
지체,"732,667","534,507","1,267,174","22,981","11,166","34,147","42,525","23,037","65,562","101,378","51,763","153,141","116,130","126,611","242,741","190,321","180,158","370,479","259,332","141,772","401,104"
시각,"150,752","102,042","252,794","16,374","15,428","31,802","3,232","3,499","6,731","5,885","5,681","11,566","6,763","6,596","13,359","11,751","9,470","21,221","106,747","61,368","168,115"
청각,"147,749","124,094","271,843","3,759","3,181","6,940","23,621","21,771","45,392","23,277","18,511","41,788","33,867","27,658","61,525","40,099","35,234","75,333","23,126","17,739","40,865"
언어,"13,900","5,509","19,409",93,56,149,"1,417",740,"2,157","5,866","2,095","7,961","6,520","2,618","9,138",3,0,3,1,0,1
지적,"117,725","77,558","195,283","29,792","20,405","50,197","39,727","28,100","67,827","48,206","29,053","77,259",0,0,0,0,0,0,0,0,0
뇌병변,"143,359","107,097","250,456","29,079","26,288","55,367","26,595","23,812","50,407","32,408","24,158","56,566","18,515","12,863","31,378","18,110","10,991","29,101","18,652","8,985","27,637"
자폐성,"19,419","3,434","22,853","8,177","1,743","9,920","8,087","1,386","9,473","3,155",305,"3,460",0,0,0,0,0,0,0,0,0
정신,"51,838","48,231","100,069","1,192","1,098","2,290","15,608","13,466","29,074","35,038","33,666","68,704",0,1,1,0,0,0,0,0,0
신장,"45,769","32,981","78,750","2,993","1,724","4,717","31,629","23,340","54,969",39,20,59,439,211,650,"10,669","7,686","18,355",0,0,0
심장,"3,450","2,057","5,507",89,54,143,388,269,657,"2,465","1,509","3,974",30,13,43,478,212,690,0,0,0
호흡기,"8,822","3,009","11,831","1,199",509,"1,708","2,583",783,"3,366","4,966","1,659","6,625",6,0,6,68,58,126,0,0,0
간,"7,938","3,104","11,042",175,44,219,223,89,312,407,130,537,244,49,293,"6,889","2,792","9,681",0,0,0
안면,"1,549","1,131","2,680",54,44,98,234,186,420,532,365,897,686,501,"1,187",42,34,76,1,1,2
장루.요루,"8,876","5,528","14,404",6,0,6,67,48,115,657,383,"1,040","5,547","3,086","8,633","2,599","2,010","4,609",0,1,1
뇌전증,"3,775","3,181","6,956",70,59,129,213,174,387,690,609,"1,299","2,232","1,868","4,100",569,471,"1,040",1,0,1
